职位,薪水,经验,学历,关键词,工作地址
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围:5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
白塔区万达广场(辽阳店)3223
查看地图"
短视频剪辑师,1-1.5万,3-5年,学历不限,"岗位内容：
1. 负责公司视频的剪辑及后期制作工作。
2. 对剪辑风格、配乐、画面调色方案做出策略建议，以获取更好的制作效果。
3. 利用剪辑手段，将冗长或无关的镜头剪辑掉，突出核心信息，提高制作品质。
4. 整合制作资源，并在时间节点内按要求完成各类视频制作任务。
5. 善于发掘优秀素材，不断创新，提高制作品质，实现预期目标。
专兼职均可

任职要求：
1. 熟练使用剪辑软件，有良好的剪辑技巧，3年以上相关工作经验。
2. 拥有敏锐的审美和极强的表现力，熟悉各种影视元素的运用。
3. 具有较高的时间管理能力和责任心，能承受一定的工作压力。
4. 拥有优秀的沟通能力和团队协作精神。","工作地点
北京朝阳区望京SOHOT2B座2606
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围:5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
泰山区万达广场(泰安泰山店)4552
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围:5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
保山隆阳区金叶大厦(保岫东路)3124
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围:5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
黔东南凯里市万达广场(贵州凯里店)5345
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围:5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
润州区万达广场(镇江店)5441
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围:5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
三元区万达广场(三明三元店)5435
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围:5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
钟山区万达广场(六盘水店)5354
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
日照东港区万达广场(青岛路店)4776
查看地图"
视频编辑,5000-8000元,3-5年,大专,"岗位职责：
1、负责视频动画合成制作及剪辑；
2、根据后期动画的不同类别及需求，对节奏、镜头进行把控；
3、视频后期制作包装、片头、片花、宣传片等设计及合成制作；视频号与其他媒体平台小视频的剪辑与发布；
4、其他上级交办的事务
任职要求：
1、影视类专业院校毕业优先，1年以上工作经验，有独立完成视频剪辑、视频合成、特效制作的能力；
2、掌握Eduis、fianl cut等编辑合成相关软件，对格式转换有经验；
3、镜头感强、逻辑思维能力强，有创新、善于分析和积累，对色彩的感知和艺术感觉都有较高的个人修养
4、为人正直成熟，认真踏实，有较强的责任心和使命感，团队合作精神以及沟通能力；

职位福利：五险、绩效奖金、节日福利、周末双休、带薪年假","工作地点
青羊区成都特色商业街协会
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
莲湖区西安丰禾万达广场6313
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
孝南区万达广场(孝感店)4654
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围:5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
拉萨堆龙德庆区万达广场(柳梧新区店)3245
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围:5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
闵行区万达广场(上海颛桥店)6546
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围:5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
咸安区咸宁咸安万达广场2531
查看地图"
视频编辑实习生SX2537,100-115元/天,,本科,"岗位职责:
1、参与新媒体营销推广项目，协助团队进行内容策划、选题、拍摄与编辑；
2、参与制定中心业务阶段性的内容传播策略，保证账号的持续活跃及稳定流量；
3、熟悉视频号、小红书等平台的规则和热门内容趋势，能够独立完成相关策划与制作；
4、按时完成项目结案、复盘，并从中汲取经验，总结问题。

任职要求:
1、遵守中国宪法和法律，具有对党忠诚的政治品格，具有职务所需的工作能力、文化水平、专业知识及身体条件；
2、本科及以上学历，在校生，一般不超过 35 周岁；
3、熟悉新媒体平台运营规则，有剪映、Fpc、Pr基础者优先；
4、有网感，创意和执行力，具备数据敏感度和分析能力；
5、有影视基础者或摄影摄像爱好者优先；
6、做事认真负责，执行能力强，每周保证有5天到岗。","工作地点
杭州滨江区华数数字电视产业园
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围:5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
天津静海区万达广场(静海店)3165
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
文峰区万达广场(安阳店)1563
查看地图"
视频运营编辑,3000-6000元,1年以下,学历不限,"岗位内容：
1. 负责视频剪辑、后期制作，包括素材的选取、处理和编辑等工作。
2. 配合导演的要求完成视频剧本创意的呈现，保证角色、场景、音效等资料的完整性和精准度。
3. 使用专业视频软件，完成音频、视频、特效的调整和混合，确保视觉与听觉效果的协调性。
4. 了解相关技术规范并遵守，制作出符合企业及标准的优秀影片。
任职要求：
1. 具备优秀的剪辑技能，有相关工作经验者优先。
2. 熟练掌握专业剪辑软件，如Premiere Pro、Final Cut Pro等。
3. 熟知后期制作流程，对影视行业有充分理解。
4. 具备良好的沟通、协作能力，团队合作意识强。","工作地点
济南历下区鑫苑国际城市花园-北门
查看地图"
新媒体视频编辑,5000-10000元,3-5年,学历不限,"岗位内容：
1. 负责各类视频素材的筛选、剪辑工作，保证视频质量和创意水准。
2. 重点把握影片的节奏，对影片的剪辑进行创新设计，使之具有一定的观赏性和信息传递性。
3. 完成剪辑工作前，对原始素材进行筛选、分类和标注，为制作顺利进行提供基础条件。
4. 协助团队完成其他制作工作，例如声音的调配、场景的选择等。
任职要求：
1. 熟练掌握剪辑技术，熟悉各种剪辑软件，能够快速完成任务。
2. 具备良好的创新能力和较高的思维活跃度，善于捕捉影片中的亮点和突出部分。
3. 较高的学习能力，能根据项目需求不断学习新技术。
4. 具有团队合作精神和高度的责任心，有良好的沟通能力和表达能力。","工作地点
廊坊市-文安县-兴文道御龙家园北侧约140米
查看地图"
融媒体编辑（视频）,3000-5000元,经验不限,本科,"一、学历要求
本科及以上， 具有新媒体运营管理相关经验，有成功案例者优先考虑。
二、岗位职责
1. 协助完成学校宣传视频的创意构思、脚本撰写及拍摄工作，确保视频内容生动、富有感染力，突出学校特色。
2. 负责宣传直播活动的策划与执行，包括活动流程设计、现场调度、互动环节设置等，保障直播顺利进行。
3. 进行学校推文的排版编辑，运用专业排版技巧，结合优质文案与精美配图，提升推文的阅读体验。
4.参与各类招生宣传工作，如制作宣传资料、策划招生活动等，完成领导交办的其他事宜。
三、岗位要求：
1. 熟练掌握单反相机、手机拍摄技巧，能够根据不同场景进行拍摄参数设置，捕捉高质量画面。
2. 精通视频剪辑软件（如Pr、剪映等），具备独立剪辑、后期制作能力，能够根据需求制作出风格各异的宣传视频。
3. 具备良好的策划能力，能独立完成宣传活动策划方案，从前期筹备到后期执行都有清晰规划。
四、福利待遇
1.五险一金、带薪寒暑假、生日福利、节假日福利、交通补贴、餐费补贴、话费补贴及其他多样化福利等。
五、具体薪资面议。","工作地点
什邡市德阳城市轨道交通职业学院
查看地图"
视频后期编辑,7000-10000元,3-5年,本科,画像1：剪辑+包装水平高、能完成大型专题片等不同风格的剪辑需求、有一点的创造力、严谨认真、有效率、配合度高。 画像2:剪辑+包装水平中等、有创意、能独立完成短视频或一般性专题片剪辑、严谨认真有效率,"工作地点
北京市-海淀区-杏石口路20号
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
吉安吉州区建安大厦2163
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围:5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
忻府区万达广场(忻州店)5423
查看地图"
