职位,薪水,经验,学历,关键词,工作地址
幼儿园教师（幼儿园配班教师/幼儿园配班老师/幼教）,4000-7000元,经验不限,大专,"职位描述
幼儿园
幼师资格证
招聘岗位：
幼儿园教师（幼儿园配班教师/幼儿园配班老师/幼教）
~~~
公办性质（国有企业办园）~普惠制幼儿园~
~~~
任职要求：
1.大专及以上学历，师范类、学前教育、心理学相关专业毕业。
2.具有一定的文艺表演能力，普通话标准，口齿伶俐、亲和力强、形象好气质佳。
3.有较强的工作责任感，有耐心，热爱幼儿教育工作。
4.具有《北京市幼儿园办园质量督导评估标准》中规定的相关岗位资质证书。
5.党员及有幼儿园教育教学经验者优先。
~~~
岗位职责：
（一）教师工作
1.严格遵守教职工职业道德规范，杜绝底线问题发生。
2.合理组织幼儿一日生活，负责游戏活动的支持和引导，教育活动的计划保障幼儿身心全面健康发展。
3.严格执行园所安全管理制度，防止安全事故发生。
4.积极与家长沟通，做好家园共育工作，构建本班和谐的家园关系。
（二）班级管理
1.促进班级和谐发展，促进班级教师间良好沟通。
2.结合本园保教工作计划和本班幼儿实际发展水平制定班级工作计划并促进计划的落实，定期对本班工作进行反思与总结。
~~~
工作地点：世纪村园：北京市朝阳区世纪村三区
~~~
福利待遇：五险一金（12%），企业年金，周末双休，完善的薪酬制度，丰富的工会福利，单身教职工宿舍，工作餐，专家培训。","工作地点
北京朝阳区世纪村-三区
查看地图"
幼教/早教转高端育婴师,8000-10000元,经验不限,学历不限,"职位描述
托管老师
保育员
早教中心
幼儿园
早教师工作内容:
婴幼儿运动能力发展
1)宝宝粗大动作能力训练:1.抬头、翻身、训练2.坐、爬行动作的训练:3.站立、行走训练方法4.跑跳动作的练习5.模仿操
2)宝宝精细动作能力训练:1.常用玩具2手指操婴幼儿语言能力发展:1.念儿歌、说故事、帮助宝宝丰富词句，学会语言使用，建立良好的人际关系
婴幼儿认知能力发展:1.感知觉训练(触觉、听觉、视觉、嗅觉、味觉)
婴幼儿安全和护理技能:1)呛奶的处理2)预防吞食衣物3)鼻子出血处理方法4)常见意外事故处理
婴幼儿日常保健及照料
1)乳牙萌出护理1.按摩牙龈2添加辅食缓解牙龈肿痛、适当的凉爽流质或半流质或软食。
2)三种喂养1.母乳喂养2.人工喂养3.混合喂养
3)良好的睡眠习惯养成
4)护理技能强化1.不同月龄阶段主被动操2婴幼儿抚触婴幼儿行为习惯和兴趣培养1)良好行为习惯和生活习惯养成
2)兴趣和能力培养：儿歌、绘本、绘画(简笔画)“费雪”“巧虎”“米卡”玩具等

任职要求：
1)年龄22-55周岁之间,身体健康、无不良嗜好;
2)2)具备基本的读写能力.沟通能力良好，普通话较为标准;
3)立志从事育婴行业的人员:
4)有一定的育婴经验，立志成为育婴行业的早教师/高级育婴师(育儿嫂);
早教师福利待遇:
1)三星早教师:5500-6500元/月
2)四星早教师:6500-7500元/月
3)五星早教师:7500-8500元/月","工作地点
河北省保定市莲池区西下关街8号622
查看地图"
幼教保育员厨师,2000-3000元,华山,3-5年,"职位描述
长期稳定
认真负责
辅助教学
保育员
教师资格证
日常教学
幼儿园
幼师资格证
哈喽！我们正在寻找一位有爱心的保育员小伙伴，和我们一起陪伴小朋友们快乐成长！
你的工作将包括照顾小朋友的起居、陪他们玩耍、学习等，让小朋友们在这里度过美好的时光。
如果你具备以下条件，就赶快加入我们吧！
1. 喜欢小朋友，有耐心和爱心；
2. 了解一些儿童教育知识，能和小朋友一起学习和成长；
3. 善于沟通，能和家长分享小朋友的成长点滴；
4. 细心、认真，能照顾好每一个小朋友。
我们期待你的加入，一起成为小朋友们成长路上的守护者！","工作地点
沈阳市-皇姑区
查看地图"
幼教老师（青山）,5000-8000元,经验不限,大专,职位描述培训机构幼儿园早教中心  岗位职责：  1、负责学员课程训练（学员群体1-13岁）；  2、积极反馈学员训练情况与效果，与家长沟通家庭训练方案，提高学员家长的满意度；  3、做好日常家长群维护服务，提醒家长出勤、监督家庭训练的实施；  4、做好学员周期总结与沟通，促进课程的另报续报，完成学员的升班升组；  5、优化学员教学计划方案，根据学员训练情况调整，因材施教；  6、积极参与公司专业技能培训，提高个人能力与专业素养；  薪酬福利：  1、基本底薪+课时费+续转奖金  2、缴纳五险  3、多彩的员工内部活动，轻松愉快的工作氛围  4、全面系统的专业培训，每半年一次星级考评加薪机会，提供稳定的加薪途径  5、完善的培训体系及广阔的晋升空间（校区及总部两条晋升路线）：  A：感统训练师--高级训练师--资深训练师/教研主管-专家训练师/教研经理-教研专家  B：感统训练师--高级训练师--教学组长-教学主任-教学经理  任职资格：  1、年龄20-30之间，大专以上学历，男女不限；  2、幼教专业、学前教育、艺术专业、心理学、护士等专业优先；  3、一年以上相关工作经验者优先考虑，有幼儿园或早教、幼教带课经验者优先考虑；  4、热爱教育行业，有亲和力，对孩子有责任心、爱心，耐心；  5、普通话标准，具有较强的沟通能力、学习能力和抗压能力；  6、无不良嗜好、身体健康；职位福利：带薪年假、绩效奖金、定期团建、全勤奖,"工作地点
武汉青山区优佳加感统·语言·注意力训练(青山印象城中心)
查看地图"
幼教（双休五险管食宿）,3000-6000元,1-3年,大专,"职位描述
双语教师
英语
幼儿园
幼师资格证
岗位职责：
1.制订学期教学计划，按计划完成各项教学工作；
2.按照教研计划和流程，按时参加教研活动；
3.及时与家长进行沟通，增进家长与园所的粘合度；
4.配合积极完成其他工作。
岗位要求：
1.大专及以上学历，学前教育、英文等师范类相关专业毕业；
2.具有幼儿教师资格证；
3.具有幼儿园一线教师工作经验，优秀应届毕业生(学前教育、英文等相关专业）优先考虑；
4.有爱心，热爱幼教事业，教学实践能力强，专业技能优秀。

职位福利：全勤奖、包吃、带薪年假、定期体检、员工旅游、节日福利、五险","工作地点
太原万柏林区加洋幼儿园(海德园)
查看地图"
赫行幼教-教学主任（储备）,4000-7000元,5-10年,本科,"职位描述
幼师资格证
教学管理经验
岗位职责：

1、制定园所教育教学工作计划并实施教育教学工作，有创新开发能力；
2、负责园所教育教学管理，提升团队教学水平；
3、组织培养教职工，搭建优秀人才梯队，强化师德师风；
4、落实国家和地方教育部门的教育政策；
5、处理园所突发性问题；
6、完成领导及上级教育部门的其他工作安排；

7、有课题经验者优先。
任职条件：
1、具备示范性幼儿园5年以上教育教学管理工作经验，集团化办园从业经历者优先考虑；
2、具备教育学、学前教育学相关专业本科及以上学历，并取得教师资格证；
3、教研能力强，业务水平高，注重安全意识，并具备良好的团队合作、组织协调、沟通表达以及管理执行力；
4、热爱教育事业，对幼儿教育、幼儿园教学发展趋势有深入了解；
5、有全学段管理经验，有运营意识，有开展大型活动经验。","工作地点
长春市二道区赫行米罗幼儿园
查看地图"
幼师/幼教 转行带宝宝,7000-14000元,易家桥,经验不限,"职位描述
教师
幼师
外教
线下授课
全职兼职均可
咨询该工作的比较多，请及时交换电话和微信!
一、工资待遇
育婴师稳定工资:8000-13000(26天)月嫂稳定工资:11000-17000(26天)催乳师:300-800(1次)
小儿推拿师:200-500(1次)产后恢复师:6000-30000
工作经验:有无经验均可，可以接受新手!
二、工作要求
我们这个行业最重要的一点是每年能存下10-15万!要求:对宝宝耐心，有爱心，有责任心!
三、工作地点安排工作都可以就近安排
就近可安排工作城市:江浙沪","工作地点
南通崇川区工农路168号701
查看地图"
幼教老师,3000-6000元,1-3年,中专/中技,职位描述幼师幼儿园幼师资格证1. 负责3-6岁幼儿的日常教学工作； 2. 根据课程计划备课、上课； 3. 组织幼儿活动，促进其身心健康发展； 4. 与家长沟通，反馈幼儿的学习和生活情况。 要求：   1.持教师资格证    2.有一年以上相关工作经验 3.教育专业背景； 4. 有爱心，耐心，责任心； 5. 善于沟通，团队协作；,"工作地点
广州黄埔区荔香路41号大院
查看地图"
幼教，特教（东莞凤岗）,4000-8000元,经验不限,学历不限,"职位描述
托管老师
幼儿园
早教中心
全脑开发
学前教育
注意力训练
爱星星/智翔儿童教育连锁机构；总部香港、分别在深圳、东莞、惠州等地有五所连锁分校；
现诚聘：学前幼儿教师．儿童特教师：个训教师、感统师、蒙氏教师、音乐教师等多名。有无经验均可，有专人培训。每月内部都有两次大型专业培训，均有教学7年以上老师讲课。
学校人性化的管理：每周上班5天制，包吃包住，周六、日体息，节假日根据国家规定放假，放假期间工资照放发，另机构经常组织老师外出游玩或内部活动，生日红包等；工资准时发放；每位教师每年都有外出学习考察的2次以上的机会，凡做满一年者，可考幼师证或特教教师证书，全国通用。薪资标准：根据工作经验及从事幼儿工作年数为准3000元---8000元不等，真诚希望有爱心、有责任心、有理想、有担当的人才的加入；你永远不用担心舞台不够大，付出的努力得不到回报；只要努力、用心、真诚、合作，你的才华在这里将得到淋漓尽致的发挥。
（一）、儿童幼师 5名、要求：幼师专业，口语表达能力强；有耐心、有爱心，有工作经验者优先。
（二）、儿童特教 5名、要求：有耐心、有爱心，责任心强，能吃苦耐劳，有工作经验者优先。
(三）．儿童康复师3名、有工作经验者优先。

职位福利：周末双休、年底双薪、年终分红、包吃、包住、带薪年假、弹性工作、补充医疗保险

职位亮点：每周上班5天制，可考特殊教师证书或幼师证","工作地点
东莞爱星星儿童关爱中心
查看地图"
幼教,4000-6000元,3-5年,大专,"职位描述
教师
美术
音乐
幼师
线下授课
私立学校
幼师资格证
保育员
培训/辅导服务
学校/学历教育
⭐工作内容：
1、依据幼儿园教育工作计划要求，结合本班幼儿年龄特点和个体差异，指定教育工作计划及目标，并完成保教工作；
2、指导和配合保育员管理好幼儿的生活和卫生保健工作；
3、对本班幼儿的安全负责，严格执行安全制度，防止发生意外事故；
4、为幼儿创造良好的物质和精神环境，发挥环境教育作用。
⭐职位要求：
1、爱心、用心、细心；
2、学前教育专业毕业，专科及以上学历应往届毕业生；
3、有三年带班经验者；
4、持有教师资格证，普通话标准；
5、尊敬领导、团结同事、爱岗敬业、吃苦耐劳；
6、拥有美术、音乐等一技之长者优先录用。
⭐工作时间：
1、早7:30 晚17:20
2、国家法定节假日休息
3、无寒暑假。
⭐职位福利：
周末双休、年底双薪、加班补助、绩效奖金、包吃、五险一金、试用期提前转正","工作地点
天津河西区珠江道与九华山路交口
查看地图"
幼教,5000-7000元·13薪,经验不限,学历不限,"职位描述
幼师
早教
线下授课
集体授课
一对一授课
全职兼职均可
培训机构
1、本公司是一家从事幼小衔接（具体是幼儿园和小学阶段的衔接课，要求有相关工作经验的老师）、小学、初中、高中各科辅导的教育机构，目前在深圳市有三家教学分部，分别位于南山区大新地铁站旁、科苑地铁站旁，宝安区林芝地铁站旁，交通十分便利。
2、随着公司规模扩大和教学需求，现向社会招聘幼小衔接、小学、初中、高中各科教师多名。
3、要求师范专业优先，欢迎应届毕业生。
4、工资待遇：5k-7k，另外有教学成果奖、卓越贡献奖、年终奖、教龄奖、过节费等。公司统一购买社保。","工作地点
深圳南山区前海路与桃园路交口处(大新地铁站C1口步行170米)
查看地图"
幼儿老师托辅教育幼教（社保+包住,3000-6000元,经验不限,中专/中技,"职位描述
亲子教育
全脑开发
心理教师
学前教育
幼儿园托管教师
一：岗位内容： 
1、负责日常教学工作，按照教学进度完成教学目标；
2、课后负责与家长沟通，让家长了解课上学生学习情况；
3、定期进行微信或电话教学；
4、负责孩子一日生活及安全；
4、完成学校其他工作安排。
二：岗位要求：
1、爱学习，喜欢孩子，有责任心；
2、普通话标准，善于沟通；
3、有教师资格证或工作经验优先。
 

职位福利：加班补助、绩效奖金、包住、员工旅游、节日福利、定期体检、五险一金、带薪年假","工作地点
合肥庐阳区祥源·上城国际罗兰苑 商铺109-209
查看地图"
幼教老师（白沙洲）,5000-8000元,经验不限,大专,职位描述幼师教师早教培训/辅导服务  岗位职责：  1、负责学员课程训练（学员群体1-13岁）；  2、积极反馈学员训练情况与效果，与家长沟通家庭训练方案，提高学员家长的满意度；  3、做好日常家长群维护服务，提醒家长出勤、监督家庭训练的实施；  4、做好学员周期总结与沟通，促进课程的另报续报，完成学员的升班升组；  5、优化学员教学计划方案，根据学员训练情况调整，因材施教；  6、积极参与公司专业技能培训，提高个人能力与专业素养；  薪酬福利：  1、基本底薪（3500-5800）+课时费+续转奖金+年终奖（综合6-8K）  2、缴纳五险  3、多彩的员工内部活动，轻松愉快的工作氛围  4、全面系统的专业培训，每半年一次星级考评加薪机会，提供稳定的加薪途径  5、完善的培训体系及广阔的晋升空间（校区及总部两条晋升路线）：  A：感统训练师--高级训练师--资深训练师/教研主管-专家训练师/教研经理-教研专家/***  B：感统训练师--高级训练师--教学组长-教学主任-教学经理-***  任职资格：  1、年龄20-30之间，大专以上学历，男女不限；  2、幼教专业、学前教育、艺术专业、心理学、护士等专业优先；  3、一年以上相关工作经验者优先考虑，有幼儿园或早教、幼教带课经验者优先考虑；  4、热爱教育行业，有亲和力，对孩子有责任心、爱心，耐心；  5、普通话标准，具有较强的沟通能力、学习能力和抗压能力；  6、无不良嗜好、身体健康；职位福利：带薪年假、绩效奖金、定期团建、全勤奖,"工作地点
武汉洪山区优佳加感统·语言·注意力(白沙洲中心)
查看地图"
幼教,3000-4000元,1-3年,大专,"职位描述
学前教育
幼儿园
幼师资格证
普通话水平测试二级甲等证书
幼儿教师
岗位内容： 1. 对幼儿园教学计划进行规划和实施； 2. 提供安全、健康和积极的学习环境，并管理学生行为； 3. 与家长沟通，提供学生进步报告并解答家长疑惑。 任职要求： 1. 具备教育学或相关领域本科及以上学历； 2. 至少三年相关工作经验； 3. 了解幼儿教育课程和教学法； 4. 具有愉悦性格、责任心和协作精神。","工作地点
陕西省西安市未央区太元路中段华远君城原售楼部三楼
查看地图"
早教老师,4000-5000元,10年以上,本科,"职位描述
早教中心
幼儿园
培训机构
岗位职责：
- 负责为幼儿提供专业的早教课程和教学服务。
- 设计和实施符合幼儿年龄特点的教学活动，促进幼儿全面发展。
- 与家长保持良好沟通，及时反馈幼儿的学习和生活情况。
- 参与园所的教学研究活动，不断提升自身教学能力。
岗位要求：
- 学历要求：本科
- 具备早教相关专业知识，有早教工作经验者优先。
- 热爱教育事业，有耐心和爱心，善于与幼儿沟通。
- 具备良好的团队合作精神和创新意识。","工作地点
西安雁塔区西交小雅托育中心(陕煤中心)
查看地图"
幼儿教师,5000-7000元,1-3年,大专,"职位描述
教师
早教
幼师
1.严格服从幼儿园管理，听从园领导的安排，遵守各项规章制度。
2.严格执行幼儿园安全、卫生保健制度，指导并配合保育员管理本班幼儿生活和做好卫生保健工作。做到“眼勤、腿勤、口勤、人到、心到、手到”。
3.负责幼儿园班内的日常教学工作。树立正确的教育观、儿童观，热爱和尊重幼儿，正面教育，做到为人师表，严禁任何形式和变相体罚。
4.按照《纲要》和《指南》开展班内幼儿一日生活。
5.积极与家长联系和沟通，掌握幼儿生活动态，制定符合幼儿特点的教育措施，定期向家长反映幼儿在园生活情况，做好家园共育工作。
6.依照园所要求完成幼儿教育文案工作。积极参加教研活动和业务学习，认真备课。观察分析并记录幼儿发展情况，做好各项活动记录和效果记录。积累经验找出差距，研究改进措施，不断提高保教质量。
7.组织幼儿开展各项重大活动，例如：元旦、六一、国庆等节日。
8 .承担班级管理责任，掌握班级教师动态情绪。
9.保证幼儿在园安全。
10.有托班工作经验，持有托育师、育婴师证者优先。
职位福利：五险一金、绩效奖金、周末双休","工作地点
北京石景山区新岚大厦二层
查看地图"
幼儿教师,4000-5000元,3-5年,大专,"职位描述
幼教
幼儿园
幼师资格证
岗位职责：
1、严格遵守幼儿园各项规章制度，积极完成教育教学任务；
2、正确评估幼儿发展，合理安排幼儿一日生活，工作认真负责；
3、指定工作计划执行教育试试方案，按时上交各类计划笔记；
4、严格执行幼儿园安全、卫生、保健制度，配合保育员管理本班幼儿生活，做好卫生保健工作；
5、积极参加业务学习和教研活动，制定个人教研专题，不断提升自身教学技能和专业水平；
6、与家长保持良好沟通，共同配合做好教学任务。
任职资格：
1、专科及以上学历，心理学、幼儿教育等相关专业；
2、具有2年以上幼教教学经验者优先考虑；
3、具有一定的管理经验，亲和力强；
4、熟悉儿童生活习性，了解儿童心理；
5、具有一定的文艺表演能力，普通话标准，口齿伶俐；
6、热爱教育事业，工作积极主动、责任心强.
福利待遇：基本工资+绩效工资，综合工资4000-5000元，包午餐，包住。
工作时间：每周一至周五，双休。
智慧熊幼教集团下属30余家直营连锁幼儿园，工作地点：烟台市开发区澎湖湾小区

职位福利：五险一金、绩效奖金、加班补助、包吃、带薪年假、定期体检、员工旅游、节日福利","工作地点
烟台福山区金桥澎湖湾
查看地图"
早教老师,8000-12000元,3-5年,大专,"职位描述
专业
音乐
全脑、感统
培训机构
幼师资格证
会沟通
热情
会上感统/全脑课
1. 负责0-10岁幼儿的教学工作；
2. 会上感统、全脑，音乐有经验着优先
3. 具备一对一家长面对面沟通能力
4. 有3～5年教学经验着优先
要求：
1. 学前教育专业背景；
2. 有热情、活泼，爱笑，耐心，责任心；
3. 善于沟通，团队协作；","工作地点
深圳市-福田区-福中一路1006号中银花园内瑞思教育城3楼狮贝乐儿童成长中心
查看地图"
幼小衔接助教老师,4000-6000元,1-3年,大专,"职位描述
幼小衔接
幼儿园
助教
幼师资格证
岗位职责：
1. 协助主教老师进行日常教学工作，确保教学活动的顺利进行
2. 观察记录幼儿的学习和发展情况，及时与家长沟通
3. 参与幼儿的日常生活照顾，保障幼儿的安全与健康
4. 配合园所进行各类教育活动的策划与实施
岗位要求：
1. 热爱教育事业，喜欢与孩子相处
2. 具备一定的蒙特梭利教育理念和方法
3. 有良好的沟通能力和团队合作精神
4. 具有学前教育相关专业背景，大专及以上学历","工作地点
北京西城区如虎少儿体能馆(马连道校区)太平里甲6号
查看地图"
幼儿园招生老师,4000-8000元,1-3年,大专,"职位描述
幼儿园
早教中心
托育中心
岗位职责：
- 负责幼儿园的招生工作，完成招生目标
- 推广幼儿园品牌，提高品牌知名度
- 为家长提供幼儿园教育咨询服务
- 参与组织幼儿园开放日及各类
任职要求：
-有幼儿园招生经验的老师优先","工作地点
西安雁塔区西交小雅幼稚园(高新园)
查看地图"
幼儿幼儿园实习生幼师,1000-2000元,经验不限,学历不限,"职位描述
幼师
1. 负责3-6岁幼儿的日常教学工作；
2. 根据课程计划备课、上课；
3. 组织幼儿活动，促进其身心健康发展；
要求：
1. 学前教育专业背景；
2. 有爱心，耐心，责任心；
3. 善于沟通，团队协作；","工作地点
重庆市渝北区宝圣大道348号湖山广场附37号
查看地图"
幼儿园实习教师,150-200元/天,,大专,"职位描述
教师
幼儿园
全学科
幼师资格证
普通话水平测试二级甲等证书
1.学前专业，大专及专科以上，本科优先。教资已过，或笔试已过。
2.喜欢小朋友，愿意从事幼教工作。
3.勤奋好学，有合作创新意识，主动意识。
4.专业能力较为突出，突出的优先录用。","工作地点
大连市甘井子区金龙路亿海玉树临居
查看地图"
幼儿园主班老师,3000-4000元,1-3年,学历不限,"职位描述
幼儿园
险后3000+福利待遇优","工作地点
沈阳铁西区凯兰幼儿园(第七分园)
查看地图"
幼儿园实习生,80-100元/天,,大专,职位描述实习证明学前教育实习  岗位要求：  1、大专及以上学历，学前教育专业，在校各项表现良好；  2、普通话标准，形象良好，阳光正直；  3、实习时间为2025年9-12月；  4、表现优秀者可留园任教。  实习地点：  南昌市九里象湖城  注：需自行解决住宿,"工作地点
南昌县百树九里象湖城幼儿园
查看地图"
幼师（阳光新城）,3000-5000元,经验不限,大专,"职位描述
早教
教师
保育员
幼师
线下授课
集体授课
坐班
岗位职责：

1、全面负责本班的教育教学工作。

2、认真执行生活日程，严格按照生活常规要求，培养幼儿良好的文明卫生习惯和独立生活能力。

3、结合本园本班的实际情况，做好教材、教具的准备，认真备课，保证计划的落实。

4、认真进行课堂教学，要求注意个别幼儿的差异，不断提高教育教学和游戏的质量；

5、课外时间开展各种游戏及体育锻炼，负责组织幼儿观察、劳动、及各种节日活动。

6、全面了解每个幼儿，负责建立本班幼儿教育教学档案。

7、主动与本班教师及保育员团结协作搞好本班教育教学、卫生保健工作及生活护理。

任职要求：

1、大专及以上学历，学前教育、小学教育、心理学或其他专业

2、学习能力强，形象气质好，有较强的亲和力

3、热爱幼教事业，热爱幼儿，有高度的工作热情

4、有良好的语言表达能力和沟通技巧

职位福利：五险一金、绩效奖金","工作地点
连云港海州区东盛·阳光新城
查看地图"
养老院文娱管家,3000-5000元,经验不限,大专,"职位描述
幼教
音乐
美术
养老院
手工
岗位职责：
- 负责组织和策划文娱活动，提升老年人的生活品质和幸福感。
职位要求：有养老院相关工作经验者优先。","工作地点
邯郸成安县恒昱加油加气站LNG
查看地图"
