职位,薪水,经验,学历,关键词,工作地址
孝昌/肖港/杨店医院社工（五险一金）,5000-8000元,经验不限,高中,"职位描述
社区义诊
引流到院
免费挂号检查
中国老年化越来越严重，50-80岁的老年人都有牙齿问题，直接困扰着吃饭难题，你看懂了趋势，我们欢迎一起加入！
医院直招，高效的面试环节（可安排线上或线下面试）
工作内容：
1、负责院区周边口腔健康知识、活动的开展、宣传、营销;
2、负责意向客户的信息收集、拓展和维护;
3、引导/带领客户检查牙齿。
任职要求：
1、对工作有较高的热情，具备较强的学习能力、良好的抗压能力，会打字和基础电脑操作;
2、可以接受外勤地推，有强烈的事业心、责任心和积极的工作态度，有相关工作经验者优先。
工作时间：月休6天，以下三选一
1、6.30-15.30
2、13.00-21.00
3、8.30-17.30
工作地点：咿呀口腔医院 孝感 云梦 杨店 孝昌 肖港 就近分配
福利待遇：
入职带薪培训，无责保底薪资2个月，底薪+提成+包中餐四菜一汤（餐补），综合5-8K+多劳多得。
缴纳五险一金，带薪年假、节假日福利、生育津贴等。
有意者可先投简历，合则约见，谢谢","工作地点
孝感孝南区杨店镇
查看地图"
一线社工,6000-8000元,1-3年,本科,职位描述一线社工  【工作地点】  宝安区   【岗位要求】  1、思想端正，身体健康，未受过刑事处罚或行政处分； 2、取得助理社会工作师及以上级别资格证书，社会工作或社会工作相关专业(社会学、法学、教育学、心理学、医学等)本科或本科以上学历；  3、党员、退役军人优先。              【福利待遇】      1、享受100元/年的工龄工资（承认深圳同行业工龄），800元/年封顶。      2、社会保险：为员工购买五险一金（综合医保）、意外伤害保险；15号之前入职，当月开始购买，16号-20号之间入职，单位部分由个人和机构各承担一部分，20号之后入职，次月购买。      3、带薪年假：根据年休假条例，连续工作满一年，享受带薪年假，以自然年度计算（可累计所有从业时间）；入职本机构满 3 年额外增加 1 天年假，满 6 年额外增加 2 天年假，满 8 年额外增加 3 天年假。      4、双休、高温补贴（6-10月）、过节费、团建费（集体+小组）、体检等。      5、符合深圳市人才引进政策规定的员工可申请调入机构集体户（深户），协助同工申请各项人才补贴等。      6、可以申请党组织、团组织关系转入（不接收档案）。      7、机构已成立工会，可享受工会福利。      8、其他福利：      遵循多劳多得原则，项目申报与运作有额外奖励，年终考核合格者发放年终奖金。          职位福利：周末双休、节日福利、五险一金、绩效奖金、交通补助、通讯补助、高温补贴、员工旅游,"工作地点
深圳宝安区宝安中心区
查看地图"
社群服务专员,3000-5000元,1-3年,大专,"职位描述
社区文化管理
养老助老
岗位内容：
1. 配合策划和执行组织的活动方案，包括社群活动、节假日活动等。
2.搜集并分析在住客户信息备案，客户反馈信息汇总。
3.时刻关注在住客户需求，提供高质量服务。
任职要求：
1. 具有2年以上社群运营服务经验。
2. 精通社交平台的使用技巧，有良好的文字创作和编辑能力。
3. 有艺术特长优先考虑。
4. 具备团队协作能力、沟通能力和解决问题的能力。","工作地点
海南省陵水黎族自治县建邦.悠然学院
查看地图"
公益项目专员,3000-5000元,1-3年,大专,"职位描述
残障康复
养老助老
社区人员管理
社会救助
社会福利
视频剪辑
图文设计
公文写作
公众号运营
服务接待
岗位职责：
1、热线与回访：接收来自残疾人SOS手环、家属及微网格员的各类信息反馈。负责在事件处置后的24小时内进行跟踪回访，更新服务对象的风险评级。
2、应急指挥：负责7x24小时应急响应机制的日常运营，在系统触发一级报警时，迅速启动预案，调度社区网格员、医疗机构等资源进行联动处置。
3、负责案例的归档与分析，定期分析预警与处置数据，编制运营报告。
4、管理“创就业服务动态”和“文娱动态”等线上板块的内容上传与数据展示。
5、负责中心各类服务数据的统计与可视化，协助制作服务看板。
任职要求：
1、有社区工作、客户服务或社工相关经验。 会视频剪辑、图文制作。
2、出色的统筹协调和多方沟通能力，有同理心和耐心，热爱公益事业。
3、熟练进行数据分析和可视化工具，能够从数据中发现规律。
4、具备高度的责任心、耐心和敏锐的观察力。","工作地点
成都成华区锦弘安瑞国医馆
查看地图"
社工站社工福州,4000-5000元,经验不限,大专,"职位描述
社会工作
社会学
心理学
法学
社团/组织/社会保障
派驻地点：福建省福州市长乐区
● 大专及以上学历，社会工作、社会学、心理学、法学、行政管理、公共管理等相关专业毕业，认同社会工作价值理念。
●具有社工情怀、高度的责任心，具有良好的沟通、协调、写作等能力并熟练办公软件。
●能运用个案、小组、社区社会工作等方法，为各类服务对象提供社会工作专业服务。

职位福利：五险一金、绩效奖金、带薪年假、高温补贴、节日福利、周末双休","工作地点
福州长乐区鹤上镇公政西路8号社会福利中心办公楼3-4层孵化基地
查看地图"
康乐主任,面议,麦子店,3-5年,"职位描述
养老助老
工作职责
1、根据机构战略发展规划进行部门年度服务目标的设定，建设服务体系目标；
2、结合年度服务目标，确定实施思路与具体措施，保证年度服务目标的顺利达成；
3、负责年度活动计划的审核、组织活动安全培训和活动安全控制工作；
4、负责社区长者心理/精神支持服务的需求和支持服务；
5、负责完成新长者适应探访、日常巡视、例时性探访、即时性探访、退住探访工作；
6、关怀访视：统筹安排对有需求的住户的个案关怀访视；
7、服务方案：根据住户需求及风险评价，组织实施专业个案或小组活动，为有需求的住户制定服务方案并及时更新；
8、外部资源协调：协调外部资源，提供社工、法律、遗嘱、遗体捐赠等个性需求服务；
9、对社工物资进行每月盘点、预算管理等；
10、完成领导交办的其他工作。
任职资格
1、本科及以上学历；社会工作、心理学、老年服务相关专业；
2、热爱养老行业，有责任心，有较强的创新能力和团队协作能力，可以承担一定的工作压力；
3、具有较高的执行能力，亲和力强，有主动服务意识；
4、有社会工作者国家职业资格证书优先；
5、3年以上的养老机构活动类、社工类管理经验。","工作地点
朝阳区大家的家·北京朝阳城心社区
查看地图"
养老社工,4000-5000元,1-3年,学历不限,职位描述养老助老  1、持有社会工作者职业资格证书（社工证），具备扎实的社会工作专业知识与技能；​  2、有养老领域或相关社工服务工作经验者优先录用，能更快适应岗位需求，独立开展服务；​  3、具备良好的沟通协调能力、同理心与责任心，热爱养老事业，愿意为老年群体提供关怀与支持。​  岗位要求：  1.持有社工相关证书  2.持有驾驶证,"工作地点
东丽区天津市杨兆兰养老院
查看地图"
社工,4000-5000元,经验不限,大专,"职位描述
养老助老
岗位职责：
1. 针对服务对象进行服务需求调研；
2. 服务点的日常管理工作，
3. 按照服务计划筹划和组织实施小组/个案/社区等专业社工服务；
4. 提供长者配餐、养老服务向导等恒常服务；
5. 及时进行相关服务活动的报道宣传工作；
6. 服务站志愿者及义工的开发、培养和管理工作；
7. 按时制定岗位工作计划及服务总结；
8. 维护和保持政府部门等合作方的良好关系；
9. 领导安排的其他工作。

职位要求：
1、专业不限，社会工作或心理学相关专业优先考虑；
2、大专及以上学历，1年社会服务工作经验，优秀应届毕业生可考虑；
3、热爱社工事业，熟悉相关领域社会工作的理念与流程，能灵活运用社会工作专业理论知识及工作技巧开展社会工作服务，有独立开展活动的能力；
4、熟悉长者服务特点，能够针对服务对象的特点研发特色服务；
5、熟悉公文写作，具备较强的文字表达能力；
6、具有社会责任感、敬业精神和奉献精神，具备良好的沟通协调能力和团队合作精神。
周末双休，五险一金等","工作地点
广州天河区棠下街综合养老服务中心(颐康中心)
查看地图"
26届毕业生-社工(J77734),120-150元/天,,本科,职位描述可转正社区人员管理社区文化管理养老助老  岗位职责:  1. 社区服务：  - 组织和开展社区活动，促进社区居民的互动和参与，增强社区凝聚力。  - 负责社区居民的社会救助工作，提供社会援助和心理支持。  - 联络和协调相关资源，为社区居民提供咨询和服务。  2. 个案管理：  - 评估社区居民的需求，制定个案服务计划，并跟进服务实施情况。  - 协助社区居民解决生活中的实际问题，提供一对一的支持和帮助。  - 维护个案档案，记录服务过程和结果，确保服务质量。  3. 宣传与教育：  - 负责社区宣传活动的策划和实施，提高社区居民对社会服务的认知和参与度。  - 开展社会教育和培训，增强社区居民的自我保护和社会责任意识。  4. 资源整合与协作：  - 建立和维护与政府部门、非盈利组织、社区团体的合作关系，整合社会资源。  - 参与社区建设和发展，协助制订和实施社区发展计划。  - 跟踪社区发展动态，及时调整服务策略。  任职要求:  1. 学历要求：  - 社会工作、社会学、心理学等相关专业本科及以上学历。  2. 工作经验：  - 具备2年以上社区服务或社会工作经验，有个案管理经验者优先。  3. 专业技能：  - 熟悉社会救助政策和法规，掌握社会工作专业知识和技能。  - 具备较强的沟通协调能力，能够与社区居民建立良好的关系。  - 具备评估、计划、组织和执行能力，能够独立完成工作任务。  4. 个人素质：  - 具有高度的责任心和服务意识，热爱社区服务工作。  - 具有良好的心理素质和应变能力，能够妥善处理突发事件。  - 团队合作精神强，具备良好的协调和组织能力。,"工作地点
长春南关区泰康之家·吉园
查看地图"
急聘 北京大学第一医院（大兴院区） 儿科专职医务社会工作者一名,5000-8000元,1-3年,本科,职位描述全职工作人员医务社工儿童社工本单位因工作需要，急聘持有社工专业证书、在医院或社区卫生服务中心开展过医务社会工作服务1年及以上的全职医务社工1人，负责从事北京大学第一医院儿科（儿童友好方向）医务社会工作服务项目。  （一）工作地点：北京大学第一医院（大兴院区）儿科。  （二）工作时间：周一至周五每天工作8小时；  （三）岗位职责：面向儿科病儿、家长及医护人员提供医务社会工作专业服务。主要包括：  1.开展相关社会调查，制定全年医务社会工作服务工作计划；  2.运用社会工作理念方法，开展个案服务、小组活动、社区活动；撰写服务方案、活动简报、新闻稿等工作信息及文件；  3.开展有关心理减压、医院特色服务活动，编辑整理相关的社会工作服务手册或其他产出成果文件；  4.组织社会志愿者团队在医院开展各类助医志愿服务，为社会志愿者提供培训、心理减压服务；  5.整合相关社会资源，为患者及医院提供相关帮助及服务;  6.调解医患关系、患患关系，促进医疗环境和谐和睦；  7.定期撰写提交服务记录;  8.及时向项目赞助方（韩红爱心慈善基金会）、落地方（人民医院社工科）、管理方(社工事务所）报告发布工作信息；  9.完成上级委托的其他相关工作。  （四）应聘人员条件：  1.年龄一般在30-35岁之间（个别条件优秀者可放宽到40岁）；  2.身心健康，具有社会工作价值理念，遵纪守法，能遵守各项工作规章制度，按要求完成各项工作任务；  3.社会工作专业本科学历毕业，在一线社会工作者岗位（而非行政、企业、商业工作岗位）工作3年及以上，或者社会工作专业硕士学历毕业，从事社会工作服务1年及以上，持有社会工作师或助理社工师职业资格证书（本条为必备条件，不符合条件者谢绝电话咨询）；  3、具有较好的社会工作服务理念及工作专业基础，愿意并能够以个案、小组、社区等工作形式及技巧，为各类服务对象提供专业服务；  4.具有较好的思维及语言沟通能力，能够与患者、家属、医务工作者、社会志愿者、科室领导等相关方较好进行工作沟通；  5.具有较好的社会工作写作及总结工作能力，能够胜任以社会工作的理论方法撰写各种工作策划、实施文件、总结工作经验及模式（请注意本条件非常重要，不符合条件者勿扰）；  6、满足以上条件情况下，中共党员、具有医务社会工作经验者优先录用；  （五）待遇报酬：  1.符合上述应聘资格的，每月到手工资约5500-6500元，同时每月享有单位代缴代扣的社保、公积金约3015元（其中个人和单位承担的社保、公积金）；  2.每周5天，每天8小时正常工作，一般情况不加班；却因特殊情况少量加班的，可以倒休形式及时补休；  3.可以获得较好的社会工作专业培训、交流、业务能力提升机会；  4.重大节假日可以有少量节日补贴。  联络方式：  北京睿成社会工作事务所，范老师，联系电话：一三六六一三一二八八六。  机不可失时不再来，有意应聘者请尽快在智联招聘提供简历及联系电话，并尽快联系范老师。请注意查看应聘人员条件，不符合条件者请勿投递简历。,"工作地点
大兴区北京大学第一医院(大兴院区)
查看地图"
护理院社工,4000-5000元,1-3年,大专,"职位描述
养老助老
残障康复
1 负责定期或专题性客户满意度调查，维护长者权益，发现服务问题，提出客情关系改善方案并组织实施。
2 负责在院长者文、体、娱、康活动的整体安排和组织实施，以及个案、小组干预方案的研判和实施
3 负责志愿者资源的开发、引入、对接与管理。
4 负责在院长者医保/长护险等结算所需数据的提报。
5 严格执行总公司医保合规制度涉及本岗位的工作内容、时限要求、以及质量标准。
6 负责营销和社工活动设施设备的管理/维护/清洁消毒等，负责部门物料耗材的管控。
7 协助/代行营销客服接待、入院办理、在院客情、出院办理等工作职责。
8 协助收费。
9 参与行政总值班排班。
10负责院内质控检查。","工作地点
威海环翠区和平路113-1号
查看地图"
社会工作者,4000-5000元,1-3年,高中,"职位描述
社区人员管理
社区文化管理
社会福利
岗位内容：
1. 提供公共服务、支持社区成员解决日常问题。
2. 开发和维护联系和资源，并协调社区活动。
3. 记录、汇总和分析数据以支持项目和策略发展。
4. 促进和参与人员培训、工作坊和小组讨论。
5. 维护相应记录、文件和档案。
任职要求：
1. 具有相关领域的经验和知识，或在相关领域有类似工作经验。
2. 出色的人际交往、沟通和协调技巧。
3. 对多元文化和不同年龄范围的人有思考、洞察和理解能力。
4. 能够快速适应变化和响应复杂问题的能力。
5. 独立工作和与他人合作的灵活性和效率。","工作地点
泰州市海陵区春风路22号春风路22号
查看地图"
