职位,薪水,经验,学历,关键词,工作地址
内科医生,8000-12000元,10年以上,本科,"岗位内容：
1. 对体检客户进行内科体检，收集其病史和症状。
2. 重阳客户回访，针对不同指征提供合理化的治疗或建议。
3. 不断学习最新的内科医疗知识和技术，保持对患者的高水准护理。
任职要求：
1. 医学本科及以上学历，取得医师执业证书。
2. 从事内科临床医疗工作10年以上，有一定的临床经验。
3. 掌握内科医学领域的基本理论和操作技能，善于观察、分析和解决问题。
4. 具有优秀的沟通和人际交流能力。","工作地点
郑州金水区中建大厦1-2层
查看地图"
内科医生（风湿免疫科方向）,8000-15000元,3-5年,本科,"内科医生（风湿免疫科方向）
岗位职责：
1、在科主任领导指导下，负责医院的医疗工作，负责风湿免疫疾病及其他自身免疫病的诊断与治疗；
2、熟练掌握内科常见病、多发病的诊断、鉴别诊断及处理方法；
3、定期进行患者随访，评估治疗效果并调整治疗计划。
4、认真执行各项规章制度和技术操作常规，检查医疗质量，严防差错事故。
5、密切关注并熟悉本专业新进展状况；

岗位要求：
1、本科及以上学历，临床相关专业具备执业医师证书，有规培证的医师候选人优先考虑，熟悉自身免疫病常见疾病的候选人优先。
2、具备3年以上相关专业岗位工作经验，有三甲医院工作背景优先；
3、熟悉自身免疫病诊疗流程及最新研究进展，掌握相关诊断技术；
4、良好的沟通能力和团队协作精神，责任心强。
5、高度的责任心和良好的团队合作意识。","工作地点
西青区天津鹏瑞利医院
查看地图"
成人内科医生（兼职）,8000元,5-10年,本科,岗位职责：  1.    首诊负责制度：  ·    诊断、治疗及管理成人全身性疾病(如心血管疾病、呼吸系统疾病、内分泌疾病等)。  ·    如遇复杂病例或超出个人能力范围的疾病，应及时请上级医师会诊或转诊至相关科室。  2.    病历书写制度：  ·     按照《病历书写基本规范》要求，准确、完整、及时地书写病历。  ·     确保病历内容真实、客观、详细，反映患者的病情演变和治疗过程。  3.    会诊制度：  ·     遇到跨学科疾病或需要专业意见时，应及时申请会诊，并积极参与会诊讨论。  ·     会诊后，根据会诊意见调整治疗方案，并向患者及其家属解释说明。  4.   患者隐私保护制度：  ·      严格遵守医疗保密原则，不得泄露患者隐私信息。  ·      在诊疗过程中，注意保护患者隐私，避免不必要的曝光和询问。  任职要求：  1.     本科及以上学历，临床专业  2.     有成人内科主治及以上职称，可以多点  3.     5年及以上成人内科诊疗经验,"工作地点
北京市朝阳区望京北路51号
查看地图"
内科医生,1-1.3万,1-3年,本科,"岗位职责：
1、负责宾客的日常巡诊、查房、门诊、转诊、信息采集、评估、诊疗、夜班值班工作；
2、做好与宾客及其家属的沟通工作，随时随地做好宾客的健康宣教工作，具体实施针对责任宾客的慢病管理工作及院内感染防控工作。
3、为宾客建立健康档案并定期维护，按时完成相关医疗文书的书写，及时敦促家属或监护人签字，规避医疗风险。
4、积极参加科研教学培训，在养老事业的工作中应不断总结经验，加强业务培训，不断学习国内外先进理念，经常进行交流、学习，积极开展新技术、新疗法，提高医疗服务质量。
5、应履行的其他岗位职责。","工作地点
廊坊三河市燕达金色年华健康养护中心
查看地图"
肾内科医生（血透中心）,8000-16000元,1-3年,本科,岗位职责1.负责血液透析患者的日常诊疗，慢病管理干预，做好患者病例档案记录；   2.掌握透析患者的病情，制定个性化的透析及综合治疗方案；  3.评估透析效果，处理透析并发症，提升及改善患者临床成效。    岗位内容1.大学本科以上学历，临床医学专业；  2.持有执业医师证书，有肾内科临床工作经验；  3..熟悉医疗行业相关法律、法规；  4.良好的职业道德素质和团队精神，作风正派，奉公守法；  5.有较强的组织协调能力和良好的医患沟通能力；强烈的事业心和责任感，工作踏实，耐心细致，热心为患者服务； 6.身心健康，无医疗差错事故和医德医风事件  职位福利：五险一金、餐补、交通补助、通讯补助、定期体检、节日福利,"工作地点
哈尔滨南岗区俊麟影音文昌街229号
查看地图"
呼吸内科医生,1-1.5万,3-5年,本科,"任职要求：
1.具备执业医师及以上职称；
2.能够独立完成呼吸内科的诊疗工作；
3.具有二级及以上综合医院内科工作经验；
4.会做支气管镜优先考虑；
5.年龄40岁以内，本科及以上学历。","工作地点
郑州新郑市新郑益仁医院
查看地图"
智慧医疗-医学知识专家（内科医生） -合肥,1-2万,1-3年,本科,"岗位职责:
1.构建医学专业知识体系，参与搭建临床医学专家知识库；
2.审核临床诊断数据，筛查病历，对人机诊断差异数据提出优化建议；
3.结合医疗场景，在医疗项目开展过程中作为医学专家指导AI工程师优化算法.提升系统智能性。
任职要求
教育背景：
研究生及以上临床专业，条件优秀者可放宽至本科。
工作经验：
具备临床医学相关专业知识，有2年及以上临床工作经验，皮肤科.外科.眼科.大内科优先考虑。

任职资格:
1.具备临床医师职业资格证书；
2.扎实的临床医学专业知识；
3.熟练掌握Office.Excel等办公软件。
能力素质：
1.有良好的耐心及认真细心的态度；
2.思维灵活，具有风险把控和处理的能力，具有较强的沟通表达能力；
3.思路清晰，责任心强，拥有较强团队意识及组织执行能力；
4.能尽快适应公司氛围及工作流程。
此岗位为科大讯飞集团统一招聘岗位，人员通过简历筛选、笔试、初试、复试、终审等环节后录用。","工作地点
蜀山区合肥 - 高新区 - 望江西路666号讯飞语音基地
查看地图"
病房内科医生,1.5-2万,3-5年,大专,"职位描述：

在科主任的指导下，根据工作能力、年限，负责一定数量病员的医疗工作。参与病房的临床病例讨论及会诊，按要求及时书写病历。认真执行各项规章制度和技术操作常规。

任职要求：

1.相关专业专科或以上学历；

2. 具有医师资格证书、执业证书，执业范围为内科；

3.能够独立诊断和处置常见临床疾病，熟悉与本专业密切相关学科的理论知识；

4.具有良好的职业道德素养和服务他人的精神。

5.人未在上海的请勿投递，因需要面试","工作地点
上海长宁区仙霞西路601号
查看地图"
内科医生,1.5-2万,天河北,经验不限,"岗位内容：
1. 制定和执行内科患者的治疗计划，监测疾病进展并进行适当的调整。
2. 诊断和治疗各种疾病，包括但不限于高血压、糖尿病、心脏病等。
3. 审查患者的病历、检查结果和其他相关信息，做出正确的医疗决策。
4. 提供长期护理以及治疗建议给需要的患者，并根据需要转介至其他医生或专业人员。","工作地点
柏德口腔(天河院区)广州市天河区天河东路220号101单元
查看地图"
内科医生,8000-10000元,1-3年,本科,"岗位职责：
1、为患者提供全面的医疗诊断和治疗服务，确保医疗质量与安全；
2、参与紧急医疗状况的处理，执行抢救措施，保障患者生命安全；
3、开展健康宣教，指导患者及家属正确理解和应对疾病；
4、与其他医疗团队成员紧密合作，优化患者护理流程；
5、定期进行病例讨论，不断提升个人专业技能和团队协作能力。
任职要求：
1、中西医结合、中医或西医内科，持有有效的执业医师或助理医师资格证书，具备扎实的医学理论基础和实践经验；
2、良好的沟通能力和服务意识，能够与患者建立信任关系；
3、具备较强的应急处理能力和团队合作精神，能够在压力下保持冷静；
4、熟悉医疗法律法规，确保医疗活动合规性；
5、热爱医疗事业，有责任心，愿意为患者提供优质的医疗服务。","工作地点
德阳市-旌阳区-黄山路一段22号
查看地图"
内科医生,7000-12000元,5-10年,学历不限,"1、持有效医师资格证书，具有多年综合/内科医生工作经验，擅长高血压、糖尿病、心脑血管疾病等慢性病的预防、治疗及生活保健优先；
2、有医院、亚健康研究中心、体检中心、养老院、疾控中心等医疗机构工作经验者优先考虑；
3、具有丰富的医学、保健培训经验，富有亲和力及感染力；
4、心态积极，思维敏捷，热爱健康管理事业，具有良好的专业背景、出色的沟通表达能力以及团队合作精神。
5、大龄可接受。
职位福利：五险一金、绩效奖金","工作地点
大连沙河口区昌黎诊所
查看地图"
内科医生,1-1.5万,经验不限,本科,"岗位职责：
1、负责客户见诊、开处方等相关工作；
2、提供高水平的医疗服务，确保准确做出诊断；
3、做好临时应急事项处理，如输液反应等。
任职要求：
1、本科及以上，具备医师资格证书、西医内科执业范围；
2、具备3年及以上同岗位工作经验，热爱医学，将维护人类生命健康作为此生为之而奋斗的目标；
3、自驱力强，拥有健康生活理念，有运动或健身爱好者优先；
4、熟悉医学最新技术和治疗方法，了解相关的研究和进展；
5、具备良好的沟通能力，有耐心，抗压能力强，性格坚韧乐观；
6、有创新医学思维，善于接受新鲜事物。
入职五险一金，月休8天，无夜班，提供成都三级医院培训机会。","工作地点
思明区维他滴(厦门鱼仙儿诊所)
查看地图"
内科医生,1-1.5万,经验不限,本科,"岗位职责：
1、负责客户见诊、开处方等相关工作；
2、提供高水平的医疗服务，确保准确做出诊断；
3、做好临时应急事项处理，如输液反应等。
任职要求：
1、本科及以上，具备医师资格证书、西医内科执业范围；
2、具备3年及以上同岗位工作经验，热爱医学，将维护人类生命健康作为此生为之而奋斗的目标；
3、自驱力强，拥有健康生活理念，有运动或健身爱好者优先；
4、熟悉医学最新技术和治疗方法，了解相关的研究和进展；
5、具备良好的沟通能力，有耐心，抗压能力强，性格坚韧乐观；
6、有创新医学思维，善于接受新鲜事物。
入职五险一金，月休8天，无夜班，提供成都三级医院培训机会。","工作地点
乌兰浩特市维他滴(兴安盟乌兰浩特诊所)
查看地图"
老年保健科医生,6000-12000元,经验不限,学历不限,"1、具备良好的医患沟通能力，与亲和力；
2、病房工作，认真对待患者病情；
岗位要求：
1、临床相关专业 ；
2、持有执业医师资格证，执业证可变更；
3、二级以上医院病房工作经验者优先考虑；","工作地点
山东省烟台市芝罘区新石路32号
查看地图"
内科医生（阜阳项目）,7000-10000元·13薪,1-3年,大专,岗位职责：   1、负责收治入住老人，开展入院评估，首次诊断及建档等；  2、负责日常巡诊、查房，给予诊断、调整医嘱，安排治疗；  3、负责按照医疗质量要求，客观、准确记录医疗行为，完善医疗文书；  4、负责贯彻“温暖医疗”中有关的服务、活动、沟通要求。     任职资格：       1、中医学、中西医结合、临床医学等专业，专科以上学历；       2、持有执业医师资格证，医师执业证书可（变更）注册到我院；       3、语言表达清晰、流畅、具有良好的交流沟通能力；       4、有亲和力，有爱心、耐心；做事细心、有责任心。   职位福利：五险一金、绩效奖金、包吃、节日福利,"工作地点
阜阳颍州区栖霞云境(北门)
查看地图"
内科医生,8000-16000元,3-5年,大专,"岗位内容：
1. 为内科患者提供全面的医疗服务，负责制定和实施治疗方案。
2. 协调医院各科室的医疗资源，确保患者得到最佳的治疗和护理。
3. 参与内部和外部培训课程，提高自身专业技能和知识水平。
4. 遵循医疗伦理规范，秉承服务理念，保障患者权益。
任职要求：
1. 具有医学相关专业学位。
2. 具备一定的内科医学知识背景和工作经验。
3. 具有良好的沟通、组织协调和团队合作能力。
4. 积极、主动，能够承受工作压力。","工作地点
南海区佛山市禅城区海一路佛山童服城B座A2栋
查看地图"
内科医生,3-3.5万,5-10年,本科,岗位职责:1、与骨科等其他科室共治住院患者。主要的共治方式包括：住院病人的内科评估、全科（综合内科）会诊、主持以内科疾病为主的住院病人诊疗工作。  2、参与或主导创新发展项目（包括运动机能评估和科学运动项目、上门服务、技术输出、骨代谢等专科门诊等）。  3、负责特需医疗的全科（综合内科）诊疗工作，包括但不限于特需、国际医疗、运动员门诊、内科治疗、健康管理、慢病管理等。  4、承担全科（综合内科）的门诊工作。  5、管理心电图室、肺功能、心肺功能、碳13检测工作。  6、医院交办的其他任务。  任职要求:  1、本科及以上学历，临床医学或内科学相关专业；  2、执业医师，获得副主任/ 主任医师职称；  3、具备三甲医院五年以上的内科临床经验，有ICU、急诊、心内科、神经内科工作经验。职位福利：五险一金、绩效奖金、交通补助、餐补、带薪年假、补充医疗保险、定期体检、节日福利  职位亮点：中国奥委会国家队运动员指定合作医院；,"工作地点
海淀区北京德尔康尼骨科医院
查看地图"
内科医生,1-1.2万,5-10年,中专/中技,岗位内容： 1. 为内科患者提供全面的医疗服务，负责制定和实施治疗方案。 2. 协调医院各科室的医疗资源，确保患者得到最佳的治疗和护理。 3. 参与或主持内部和外部培训课程，提高自身专业技能和知识水平。 4. 遵循医疗伦理规范，秉承服务理念，保障患者权益。 任职要求： 1. 具有医学相关专业学位。 2. 具备一定的内科医学知识背景和工作经验。 3. 具有良好的沟通、组织协调和团队合作能力。 4. 积极、主动，能够承受工作压力。,"工作地点
南通市-海门区-北海路700号北海幸福苑696号694号
查看地图"
内科医生-需持有执业医师证,4000-6000元,经验不限,大专,"岗位内容：
1. 根据患者症状和体征，制定诊疗方案并开展治疗；
2. 负责观察分析病情发展趋势，及时调整治疗方案；
3. 负责手术室的手术操作和术后护理；
4. 协助完成医疗设备的日常维护及保养工作。
任职要求：
1. 医学专业本科或以上学历，相应执业医师资格证书；
2. 具有较强的临床实践经验和手术操作能力；
3. 熟练掌握相关医疗知识和技能；
4. 具有良好的沟通协调和团队合作精神。","工作地点
河北省石家庄市鹿泉区南三环与107国道立交桥南行920米路东
查看地图"
肾内科医生,1.3-1.5万,3-5年,大专,肾病学专业，具有扎实的医学理论知识，3年以上临床工作经验并取得执业医师资格，有血液净化透析工作经验者优先。,"工作地点
中牟县郑州君鹏综合医院
查看地图"
临床医师（内科）,2000-4000元,1-3年,本科,岗位职责：1.熟练掌握本专业理论知识，熟悉内科常见病、多发病的诊断及鉴别诊断、治疗原则，同时必须具备多领域多学科的知识。2.能够分析心电图、胸片，同时熟悉呼吸机、心电图机等常见仪器的使用。3.具有高度的责任心、良好的职业道德和严谨的工作态度。4.良好的沟通能力，耐心细致的工作作风也是必不可少的。任职要求：1.临床医学、内科学等专业，本科以上学历。取得医师执业或助理医师资格证。年龄：25岁——35岁。  能够熟练使用办公软件，具有从事公共卫生相关工作经验。       照片岗位为公共卫生科慢性病管理室      招聘条件：拥护党的路线、方针、政策，遵守国家宪法和法律，责任心强，吃苦耐劳，服从管理，听从指挥，无违法、违纪等不良记录。    薪资待遇：1.工资：岗位工资+绩效工资；2.参加企业职工社保，缴纳基本养老金、失业保险、工伤保险、基本医疗保险等；3.享受带薪年休假、婚假、产假等假期；4.享受防暑降温费、取暖费；5.享有参加单位党组织及工会组织的权利。,"工作地点
西安雁塔区丈八社区卫生服务中心
查看地图"
内科医生+月休八天（江苏多地可安排）,1-1.5万,3-5年,本科,【岗位职责】1、负责客户见诊、开处方等相关诊疗工作；2、提供高水平的医疗服务，确保准确、及时为客户做诊断；3、做好临时应急事项处理，包括但不限于输液反应等。  【任职要求】  1、优先本科学历及以上，具备医师资格证书、执业医师证书；  2、具备 3 年及以上同岗位工作经验，热爱医学，将维护人类生命健康作为此生为之而奋斗的目标；  3、自驱力强，拥有健康生活理念，有运动或健身爱好者优先；  4、熟悉医学最新技术和治疗方法，了解相关的研究和进展；  5、具备良好的沟通能力，有耐心，抗压能力强，性格坚韧乐观；  6、有创新医学思维，善于接受新鲜事物。     福利：五险一金，朝九晚六、月休八天、节日福利、生日福利等；,"工作地点
淮安清江浦区河畔路维他滴诊所
查看地图"
辅导老师/内分泌医生,7000-12000元,5-10年,本科,"承接公司及商学院管理指标，医学指导与会诊答疑。
1、教材优化与种子技术人才深度教育；
2、指导下级药师工作，定期与现场或远程会诊
3、定期复盘，分析管理后台数据。
任职要求：
1、年龄：42岁以下（80后）；
2、专业：本科（中医可适当放宽）以上学历；有执业医师资格证；
3、工作经验：内分泌科室，5年以上工作经验，糖尿病患者治疗经验丰富；
4、职业素养：正能量，有理想，有梦想，愿意从事糖尿病教育事业；
5.薪资：7-12K （底薪+提成） 社保：五险","工作地点
巴音郭楞库尔勒市库尔勒站
查看地图"
内科医生+月休八天,1-1.5万,3-5年,本科,【岗位职责】1、负责客户见诊、开处方等相关诊疗工作；2、提供高水平的医疗服务，确保准确、及时为客户做诊断；3、做好临时应急事项处理，包括但不限于输液反应等。  【任职要求】  1、优先本科学历及以上，具备医师资格证书、执业医师证书；  2、具备 3 年及以上同岗位工作经验，热爱医学，将维护人类生命健康作为此生为之而奋斗的目标；  3、自驱力强，拥有健康生活理念，有运动或健身爱好者优先；  4、熟悉医学最新技术和治疗方法，了解相关的研究和进展；  5、具备良好的沟通能力，有耐心，抗压能力强，性格坚韧乐观；  6、有创新医学思维，善于接受新鲜事物。     福利：五险一金，朝九晚六、月休八天、节日福利、生日福利等；,"工作地点
烟台龙口市万豪伊顿维他滴诊所
查看地图"
内科住院医师,6000-12000元,3-5年,大专,"岗位职责：
1. 能够解决内科常见问题，有内科急危重症抢救经验为佳；
2. 负责住院患者的日常诊疗工作，包括查房、病情评估与记录；
3. 能够独立完成病历书写；
4. 制定并执行治疗计划，确保患者得到恰当的医疗服务；
5. 与护士及其他医疗团队成员合作，共同促进患者康复进程。
6. 参与科室内部会议及培训活动，不断提高个人专业技能。
任职要求：
1. 拥有医学相关专业大专及以上学历。
2. 具备内科中级或以上职称资格证书。
3. 至少五年以上同岗位工作经验，熟悉内科常见病、多发病的诊断与处理。
4. 具备良好的沟通技巧和服务意识，能够妥善处理医患关系。
5. 熟练使用计算机办公软件，适应医院信息化管理系统操作。","工作地点
房山区北京弘仁堂中西医结合医院
查看地图"
消化内科医生,8000-15000元,1-3年,本科,"1.执业医师及以上职称；
2.具备1-3年二级及以上综合医院内科工作经验；
3.会操作胃肠镜者优先考虑；
4.本科及以上学历，年龄在40岁以内。","工作地点
郑州新郑市新郑益仁医院
查看地图"
内科医生（功能医学&内抗衰方向)(J10262),2-3万,经验不限,本科,岗位职责: 1、依据功能医学及抗衰老理念，针对内科各类病症（如代谢疾病、内分泌失调、免疫功能异常等）开展专业诊断工作，为患者制定精准的诊疗方案； 2、开展抗衰老医学咨询与服务，运用先进的抗衰老技术和方法，评估患者健康状况，制定并执行抗衰老治疗计划； 3、参与健康管理与疾病预防项目，为患者提供全面的健康管理服务，包括营养指导、运动建议、心理健康支持等； 4、协同医院内部各科室团队，在疑难病症会诊等工作中积极贡献专业见解，推动功能医学及抗衰老相关医疗技术与临床实践的融合发展，提升整体医疗服务效能； 5、维护良好的医患关系，耐心解答患者疑问，提供必要的医疗咨询与解释。 任职要求: 1、大学本科及以上学历，临床医学等相关专业； 2、持有内科专业执业医师证，具备扎实的医学理论基础和丰富的临床经验； 3、具备良好的沟通能力和服务意识，能够耐心倾听患者需求，提供个性化的医疗服务 4、熟悉功能医学及抗衰老领域的理论与实践，具备相关领域的专业培训和认证者优先考虑； 5、有大健康、抗衰老、慢病管理、海外医疗等经验优先； 6、持续学习，关注医学领域的新技术、新方法，不断提升自己的专业技能和服务水平； 7、工作地点位于北京、天津、上海、西安、青岛巡回出诊，需能够适应巡回出诊的要求。,"工作地点
河西区天津伊美尔医疗整形美容专科医院
查看地图"
内科医师,6000-12000元,1-3年,本科,"岗位职责：
1、负责医院内科诊疗、救治，掌握心脑血管疾病等专业知识；
2、书写病历，记录病程；
3、参加查房，对所管患者进行检查、诊断、治疗、开写医嘱并检查执行情况；
4、指导护士对重要检查和治疗进行护理。

职位福利：缴纳五险、签订劳动合同、节日福利、补贴制度、奖励制度、培训体系","工作地点
东营东营区胜泰路61号
查看地图"
无夜班不加班五险一金内科医生,6000-12000元,3-5年,本科,"任职要求：
1、西医临床内科或病理专业；有执业医师资格证。
2、身体健康，热爱医学工作。
3、具有良好的职业道德和团队协作精神。
4、要求全职坐班。
薪酬待遇：
试用期：5000--8000元。
转正期：综合薪资6000-15000元，享受5险1金。
工作时间：08:30-12:00 13:30-17:30（夏）08:30-12:00 13:00-17:00（冬）

职位福利：五险一金、节日福利、生日福利、每年多次调薪

职位亮点：不加班，无夜班","工作地点
石家庄桥西区金正海悦国际-A座
查看地图"
内科医生,5000-7000元,经验不限,中专/中技,"岗位职责
1、 门诊工作：负责日常门诊、急诊诊疗，执行诊疗常规，开具处方并管理药品供应，建立患者医疗档案，完成转诊与随访。
2、住院部工作：带领医生团队完成住院患者查房、病历书写、医嘱开具及诊疗方案执行，参与危重症抢救、会诊及日常值班。
3、其他要求：遵守医院规章制度，严格按照医保标准执行，按时完成领导交办任务。
任职要求
1、学历与资格：中专及以上学历，临床医学或中西医结合专业，需持有执业医师证并能注册。
2、有综合医院大内科临床经验或二级医院内科工作经历。
3、执业范围为：内科、心血管病学、消化内科、呼吸病学或中医专业。
4、主要针对居住在青白江本地已经退休的医生接受返聘执业。","工作地点
成都青白江区青白江友爱医院新河路8号附20号
查看地图"
急聘：内科医生,5000-10000元,3-5年,本科,"岗位职责：
1. 全面负责各类医疗服务工作，涵盖 VIP 全科诊疗、精密体检报告解读、客户健康问题解答与日常科普；
2. 严格确保全科医疗服务的专业性、规范性，并符合诊疗常规，确保医疗安全；
3. 积极参与并主导专家会诊工作，大力推动会诊流程的高效运转；
4. 负责医疗文件的审核，门诊流程的优化，以及主导门诊部VIP建档及回访工作，能对结果负责；
5. 参与医疗立项相关的科研任务。
任职要求：
1. 职称证书：持有执业医师以上证书；
2. 学历证书：拥有临床医学本科及以上学历优先考虑。
3. 工作经验：具备 3 年及以上全科或内科工作经验，在大型医疗机构、体检中心或大健康管理平台拥有全科诊疗、体检报告解读经验者为上佳之选。
4. 具备出色的沟通技巧与强烈的服务意识，真心愿意伴随企业实现长远发展。
5.有高端客户服务经验者优先。","工作地点
西安市-雁塔区-雁翔路99号交大科技博源科技广场-创新大厦c座
查看地图"
内科医生,4000-8000元,10年以上,大专,"岗位职责：
1、热情认真的接待体检者；
2、负责相应科室的体检工作；
3、正确填写体检报告；
任职资格：
1、大专以上学历，临床内科专业，中级以上职称，
2、语言表达清晰、流畅、具有良好的交流沟通能力，亲和力；
3、熟悉计算机基础知识；
4、具有良好的团队协作精神。","工作地点
广阳区廊坊健源体检站
查看地图"
内科医生,1.2-2万,1-3年,大专,"岗位职责：
1：熟练掌握常见病、慢性病的诊断和治疗，具有良好的业务素质。
2：根据病例书写要求，规范、详细书写病例和处方，完善病例档案。
兼职也可！
任职条件：
1: 具备医师资格证、执业证书。
2: 善于跟患者沟通，有团队合作精神。
薪资待遇：
工资+绩效+提成+奖金+过节福利,不封顶。","工作地点
山东省济南市历下区奥体西路保利华庭2-104
查看地图"
