职位,薪水,关键词,经验,学历,工作地址,公司,公司情况
医疗器械销售代表（黑龙江）,1.5-2万,"外科
内科
公立医院",3-5年,大专,哈尔滨·南岗·芦家,吉林省浩泉博源商贸有限公司,"20人以下
         
          零售/批发"
软件开发岗-接受无经验,1.3-2.6万·14薪,"Spring
MySQL",经验不限,本科,杭州·滨江·长河,外企德科数字技术有限公司,"合资
         
          10000人以上
         
          专业技术服务"
急急急招送餐员，日入280+，提供车+住,7000-10000元,"送餐员
外卖骑手
配送员
饿了么
餐饮外卖
酒水饮料
生鲜蔬果
会骑电动车
有骑手经验
熟练使用导航
熟悉本地路况
无犯罪记录
退伍军人
自带电动车/摩托车
公司提供电动车/摩托车",经验不限,学历不限,石家庄·长安·青园,北京乐信韵达货运代理有限公司,"民营
         
          500-999人
         
          货运/物流/仓储"
京东运营,5000-10000元,"京东
淘宝/天猫",1-3年,学历不限,长春·朝阳,吉林析芮农业集团有限公司,"股份制企业
         
          20-99人
         
          互联网"
六点后来跑配送员3小时日结,35-50元/时,"公司提供三轮车
文件证照
电子产品
生活日用
服装饰品
鲜花
药品
全城范围配送
会骑电动车
无犯罪记录",经验不限,学历不限,苏州·张家港·杨舍,温州安飞餐饮管理有限公司,"民营
         
          20-99人
         
          餐饮服务"
前台接待,3000-5000元,"五险一金
周末双休
法定节假日休
带薪培训
带薪年假
全白班
工厂",1-3年,高中,孝感·孝南区,东洋佳嘉(湖北)海绵制品有限公司,"20-99人
         
          汽车零部件"
高级前端开发工程师（武汉）,1.2-1.8万,"大屏/可视化项目
GIS/地图项目
JavaScript
CSS
Vue
Echarts
OpenLayers
Cesium",5-10年,本科,武汉·新洲·双柳,青岛兴辰智海科技有限公司,"民营
         
          20-99人
         
          计算机软件"
休息日兼职上下午均可日结,380-480元/天,"提供电动车
无驾照要求
文件证照
电子产品
生活日用
服装饰品
食品饮料
药品
全城范围配送
按区域配送
会骑电动车",经验不限,学历不限,苏州·姑苏·虎丘,温州安飞餐饮管理有限公司,"民营
         
          20-99人
         
          餐饮服务"
vivo体验店店长-地市,6000-9000元,"专卖店
体验店",1-3年,大专,巴中·巴州区·回风街道,四川卓远天讯电子有限公司,"民营
         
          1000-9999人
         
          通信/网络设备"
汽车pqe品质工程师,1.5-1.8万·18薪,"质量体系工程师
过程质量工程师
汽车内饰
汽车外饰
汽车电子产品
新能源汽车
乘用车
商用车",5-10年,本科,西安·莲湖·枣园,陕西恒钛瑞成金属材料有限公司,"20-99人
         
          贸易/进出口"
航空办公室行政文员（双休+五险一金）,5000-8000元·13薪,"内勤管理
免费安置就就业
直签劳动合同
五险一金",经验不限,大专,秦皇岛·海港区·海港镇,河北华谊航空服务有限公司,"20-99人
         
          人力资源服务"
专职司机,5000-7000元,"行政司机
专职司机
驾驶员
商务司机",5-10年,高中,北京·朝阳·团结湖,中国中轻国际工程有限公司,"国企
         
          500-999人
         
          工程技术与设计服务"
山姆超市3公里专送/日结300+/一趟8单,8000-10000元·13薪,,经验不限,学历不限,惠州·惠城区·河南岸街道,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
机械管培生（校招2.0，机械相关专业）,2-2.5万,生产管理方向,1-3年,本科,赣州·章贡区·水西镇,华劲集团股份有限公司,"合资
         
          1000-9999人
         
          印刷/包装/造纸"
桥北高端家具销售顾问+六险,6000-10000元,门店销售,1年以下,学历不限,南京·浦口·泰山,南京瑞美家居用品有限公司,"民营
         
          100-299人
         
          耐用消费品"
薪酬绩效专员（国企+双休+五险2金）,7000-10000元,,3-5年,本科,佛山·三水·西南街道,汕头市华越建材科技有限公司,"国企
         
          20-99人
         
          建材"
生鲜配送年赚12万/包吃住/无业绩压力,8000-10000元·13薪,,经验不限,学历不限,珠海·金湾区·三灶镇,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
关山客房服务员,4000-7000元,"客房保洁
星级酒店",经验不限,学历不限,武汉·江夏,武汉瓜豆科技,"民营
         
          100-299人
         
          计算机软件"
房地产销售经理,1-2万,,5-10年,大专,商丘·梁园区·平安街道,中商奥特莱斯(夏邑县)置业有限公司,"民营
         
          100-299人
         
          房地产开发"
外卖骑手0元入职无押金+短期寒假工可做+包车住,7000-9000元,"公司提供电动车/摩托车
无驾照要求
餐饮外卖
会骑电动车
无犯罪记录
熟练使用导航
退伍军人
美团",经验不限,学历不限,合肥·瑶海·磨店,合肥市互亿网络科技有限公司,"20-99人
         
          搬家/生活配送"
铆焊质检员(月入8K-1W),8000-10000元,成品检验（FQC）,3-5年,学历不限,大连·旅顺口·三涧堡,大连双龙泵业集团有限公司,"民营
         
          500-999人
         
          通用设备制造"
工业会计,5000-8000元,"总账
成本
制造业
金蝶EAS
会计初级证书/职称
会计中级证书/职称",1-3年,本科,重庆·北碚,捷米(重庆)机器人有限公司,"民营
         
          20-99人
         
          仪器仪表制造"
诚聘磨工-月入7000（包吃）,5000-7000元,"角磨机
研磨床",经验不限,学历不限,苏州·张家港·南丰,楚江汇泽企业管理有限公司,"民营
         
          300-499人
         
          人力资源服务"
综合会计+出纳,4000-5000元,"应收应付
核算会计
税务会计",1-3年,大专,重庆·九龙坡·华岩,重庆城乡圆科技有限公司,"民营
         
          20-99人
         
          居民服务"
配送超市日用品，3公里内，日结250元，提供车住+可兼职日结可全职/+骑手/超市驻店/配送员/送餐员。,7000-8000元·13薪,"家附近3公里配送
提供车住
全职兼职均可
日入500
时间自由
人走账清
保底8000
日结工资
包住
可预支薪水
高温补贴
底薪加提成
节日福利",经验不限,学历不限,肇庆·端州区·城西街道,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
招聘焊工-月入20000（包住）,1.5-2万,"氩弧焊工艺
包吃包住",经验不限,学历不限,成都·都江堰·蒲阳,四川同创凯宏人力资源管理有限公司,"民营
         
          100-299人
         
          人力资源服务"
总助/ceo助理/董事长助理,6000-11000元,"集团公司
礼仪
接待
出差",无经验,本科,西安·未央·汉城,陕西腾远伟业建设集团有限公司,"20-99人
         
          房地产开发"
只送一个仓库就近安排配送+可兼职日结可全职/+骑手/超市驻店/配送员/送餐员,8000-10000元·13薪,"家附近3公里配送
提供车住
全职兼职均可
日入500
时间自由
人走账清
保底8000
日结工资
包住
可预支薪水
高温补贴
底薪加提成
节日福利",经验不限,学历不限,南宁·兴宁·三塘,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
财务主管,7000-10000元,"财务分析
成本管理
审计",5-10年,本科,无锡·锡山·东北塘,江苏协易机床城有限公司,"民营
         
          20-99人
         
          电气机械/电力设备"
安全主管+单人间宿舍+免费三餐,7000-9000元·13薪,"消防管理
职业健康管理
安全管理
安全员资格证",3-5年,大专,六安·金安区·清水河街道,合肥汉邦希瑞护理用品有限公司,"民营
         
          1000-9999人
         
          医疗设备/器械"
高中物理（高薪+就近安排+无义务课时）,8000-12000元,"高中
线下授课
一对一授课
授课老师
高级中学教师资格证书",1-3年,本科,石家庄·裕华·裕东,河北阳光教育科技集团有限公司,"学校/下级学院
         
          1000-9999人
         
          学校/学历教育"
急聘快递员！！工作稳定 货多 区域小 日入400+,1.1-1.4万,"配送员
快递员
0元入职
会骑三轮车
熟练使用导航
相关快递行业经验
退伍军人
无犯罪记录
熟悉本地路况
派送
收件
日用品
电子产品
服装饰品
公司提供三轮车
自带三轮快递车",经验不限,学历不限,北京·丰台·太平桥,北京乐信韵达货运代理有限公司,"民营
         
          500-999人
         
          货运/物流/仓储"
国企西点师，五险一金双休，月8500,7000-9000元,"西式面点
中式面点
蛋糕",1-3年,大专,广州·荔湾·冲口,职等你来(广东)科技有限公司,"股份制企业
         
          10000人以上
         
          企业服务"
系统集成工程师（洛阳）,4000-6000元,"运维监控
系统运维",1-3年,大专,洛阳·西工·西工街道,河南宏博测控技术有限公司,"民营
         
          100-299人
         
          仪器仪表制造"
王者手游陪练 居家日结 无考核,5000-10000元,"远程办公
不露脸
娱乐才艺
情感聊天
快手
手游",经验不限,学历不限,全国,成都萌拓文化传播有限公司,"民营
         
          100-299人
         
          文化艺术/娱乐"
公共事务部部长（高新技术企业）,2-2.6万,"复合材料
公共事务
科研项目申报
知识产权",10年以上,本科,北京·房山·窦店,北京方硕复合材料技术有限公司,"民营
         
          100-299人
         
          化学纤维制造业"
中国电信大楼（不限经验）,7000-8000元,"售后客服
稳定
不销售",经验不限,学历不限,武汉·洪山·关山,武汉金悦博才人力资源有限公司,"股份制企业
         
          10000人以上
         
          人力资源服务"
数码兼职配送,40-60元/时,"公司提供电动车
无驾照要求
文件证照
电子产品
生活日用
服装饰品
鲜花
药品
按区域配送
会骑电动车
无犯罪记录
熟练使用导航",经验不限,学历不限,苏州·相城·元和,温州安飞餐饮管理有限公司,"民营
         
          20-99人
         
          餐饮服务"
射频工程师,7000-14000元·14薪,"射频电路设计
射频设计
天线设计
PCB设计
放大器
雷达
传感器
天线",经验不限,本科,南宁·良庆·良庆镇,北京信路威科技股份有限公司,"民营
         
          300-499人
         
          计算机硬件"
单位上班就近安排（电信）,7000-8000元,"全白班
倒班制
稳定",经验不限,大专,武汉·洪山·关山,武汉金悦博才人力资源有限公司,"股份制企业
         
          10000人以上
         
          人力资源服务"
益阳沅江装装配钳工24元一小时包吃住月入七千,8000-9000元,装配电工,1-3年,学历不限,益阳·沅江市·胭脂湖街道,湖南潇湘人力资源服务有限公司,"股份制企业
         
          100-299人
         
          人力资源服务"
【日结】潍坊高密中骏必胜客招募兼职服务员(过年供班)J14483,1500-3000元,"西餐厅
免费工装
节日福利
免费培训",经验不限,学历不限,潍坊·高密·朝阳,北京必胜客比萨饼有限公司青岛分公司,"外商独资
         
          1000-9999人
         
          餐饮服务"
官方客服文员五险一金,7000-8000元,"五险一金
8天休
稳定有前景",经验不限,大专,武汉·洪山·关山,武汉金悦博才人力资源有限公司,"股份制企业
         
          10000人以上
         
          人力资源服务"
视频拍摄剪辑专员,6000-9000元·13薪,"PR
PS
AE
剪影",1-3年,大专,佛山·南海·九江,广东顺德富凯家具有限公司,"民营
         
          300-499人
         
          家具制造"
内科医师,4000-8000元,,1-3年,大专,济南·历下·龙洞,新华卓越门诊部(济南)有限公司,"国企
         
          100-299人
         
          卫生服务"
学术推广代表-德宏,6000-10000元,"处方药
医院
儿科
外科
icu",1-3年,大专,德宏·芒市,云南腾丰医药有限公司,"民营
         
          20-99人
         
          医药批发/零售"
项目经理,6000-12000元,"医药招投标项目
生物样本库项目
细胞整体解决方案",3-5年,大专,济南·历城·港沟,国源生命科学集团有限公司,"其它
         
          100-299人
         
          医药制造"
新能源电站运维项目负责人,8000-12000元·13薪,"电力运维
电网工程",3-5年,本科,深圳·南山·西丽,公诚管理咨询有限公司深圳分公司,"国企
         
          500-999人
         
          专业技术服务"
一月不工作 ，二月徒伤悲，年前月结7300,8000-12000元,"C1驾照
C2驾照
公司提供电车
3-5年驾龄
无犯罪、酒驾记录
近3年无记满12分记录
熟练使用导航",3-5年,学历不限,武汉·江夏·乌龙泉,武汉佰盛汽车服务有限公司,"其它
         
          20人以下
         
          新能源汽车"
惠州歪马中心仓招聘物流叉车工一员,7000-8000元,高位叉车,经验不限,学历不限,北京·通州·宋庄,上海胤誉智维企业服务有限公司,"民营
         
          10000人以上
         
          企业服务"
云贵川外派出差8K+差旅报销,1-1.5万,"企业客户
政府客户
个人客户",经验不限,学历不限,重庆·江北·观音桥,重庆百润鸿德环保科技有限公司,"民营
         
          20-99人
         
          环保"
市场营销总监,1.5-2万,"市场营销
市场策划",5-10年,学历不限,北京·朝阳,北京聚赋律师事务所,"律师事务所
         
          100-299人
         
          法律服务"
高薪急招骑手有车住高补贴,6000-8000元,"美团
饿了么
盒马
包住
可预支薪水
高温补贴",经验不限,学历不限,黄冈·浠水县,武汉东亿科技有限公司,"民营
         
          100-299人
         
          餐饮服务"
技术副部长,1-1.5万,工程机械研发,5-10年,本科,大连·瓦房店·长兴岛,大连益多管道有限公司,"民营
         
          100-299人
         
          电气机械/电力设备"
自由灵活日结，0押金0租金,7000-10000元,"公司提供油车
公司提供电车
公司提供油电车
C1驾照
C2驾照
2-3年驾龄",经验不限,学历不限,昆明·官渡·关上,安庆市壹程壹友科技有限公司,"20-99人
         
          新能源汽车"
烤鸭配送骑手,1.2-1.5万,"底薪加提成
节日福利
高温补贴
可预支薪水
站点提供电动车，住宿
健康证
食品
固定3-5公里商圈
会骑电动车
熟练使用导航
无犯罪记录
送餐员
0元入职",经验不限,学历不限,北京·海淀·清河,北京起晟网络科技发展有限公司,"民营
         
          100-299人
         
          餐饮服务"
项目资料员,6000-9000元·13薪,工程施工资料,3-5年,大专,遵义·汇川区·董公寺街道,浙江百里集团有限公司,"民营
         
          500-999人
         
          房地产开发"
高薪销售工程师,1-1.5万,"仪器仪表
电子/半导体
企业客户（2B）
面销
政府客户",3-5年,大专,郑州·中原·沟赵,郑州如阳科技有限公司,"民营
         
          100-299人
         
          仪器仪表制造"
设备工程师（2026届）,5000-7000元,"自动化设备
机械设备
通信设备",无经验,本科,大连·金州·董家沟,大连达利凯普科技股份公司,"股份制企业
         
          300-499人
         
          电子/半导体/集成电路"
配料组长,5000-7000元,生产计划管理,1-3年,中专/中技,成都·蒲江·鹤山,四川蜀皇鑫贸易有限公司,"民营
         
          20-99人
         
          零售/批发"
生鲜专送年赚10万/不加班/就近分配仓库+可兼职日结可全职/+骑手/超市驻店/配送员/送餐员,7000-8000元·13薪,"家附近3公里配送
提供车住
全职兼职均可
日入500
时间自由
人走账清
保底8000
日结工资
包住
可预支薪水
高温补贴
底薪加提成
节日福利",经验不限,学历不限,湛江·赤坎区·中华街道,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
绍兴柯桥月薪7500-,6000-7000元,"包住
两班倒
周结",经验不限,学历不限,绍兴·柯桥区·柯岩街道,吉林省众权人力资源有限公司,"其它
         
          20-99人
         
          人力资源服务"
洗车工,3000-6000元,"有无经验均可
洗车店
4S店
加油站
包住
汽车普洗
汽车精洗",经验不限,学历不限,新乡·红旗区·洪门镇,新乡市高新区奔奔来富汽车服务店(个体工商户),"20-99人
         
          汽车4S店/经销商"
急招驻店专送员/300一天/提供车住吃+可兼职日结可全职/+骑手/超市驻店/配送员/送餐员,8000-10000元·13薪,"家附近3公里配送
提供车住
全职兼职均可
日入500
时间自由
人走账清
保底8000
日结工资
包住
可预支薪水
高温补贴
底薪加提成
节日福利",经验不限,学历不限,金华·义乌市·江东街道,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
车辆结构工程师,1.1-1.8万,"车身
汽车外饰
汽车电子产品
乘用车
新能源汽车
CATIA
SolidWorks
Pro/E",3-5年,本科,南京·江宁·江宁街道,南京北路智控科技股份有限公司,"上市公司
         
          500-999人
         
          物联网"
7K坐班正编车险续期客服,6000-12000元,"电话客服
售前客服
网络客服
全白班",经验不限,学历不限,成都·简阳·石桥,阳光财产保险股份有限公司6,"上市公司
         
          10000人以上
         
          保险"
下班赚外快就来做送餐员/+可兼职日结可全职/+骑手/超市驻店/外卖配送员/送餐员,300-500元/天,,无经验,初中及以下,西安·雁塔·曲江,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
中拓坐班日结170/天，包吃住，轻松不累,6000-7000元,"坐班不累日结工假期工
不体检直接入职包吃住
大龄工轻松不累
包住
恒温车间
厂内食堂
组装工
包装工
检验员
日结
月休四天
两班倒",经验不限,初中及以下,长春·二道·英俊,吉林省众权人力资源有限公司,"其它
         
          20-99人
         
          人力资源服务"
文旅行政人事经理,5000-7000元,"绩效管理
薪酬福利
HRBP
行政人事主管/经理",3-5年,本科,南昌·进贤·二塘,江西聚仁堂实业发展集团有限公司,"民营
         
          1000-9999人
         
          房地产开发"
底薪8000起急招开车司机,9000-12000元,"C1
驾龄三年以上",3-5年,学历不限,深圳·龙岗·吉华,佛山市晨飞汽车租赁有限公司,"100-299人
         
          汽车智能互联"
接听客服 双休五险一金,5000-7000元·13薪,"售前客服
电话客服
售后客服",经验不限,大专,成都·武侯·桂溪,成都微招网络科技有限公司,"民营
         
          100-299人
         
          人力资源服务"
卡旺卡奶茶店员（安徽就近安排）,4000-8000元,"加班补贴
节日福利",经验不限,大专,合肥·包河·望湖,四川新南泰企业管理咨询有限公司,"民营
         
          300-499人
         
          人力资源服务"
财务管理员,3000-5000元,"财务分析
应收应付
预算
风控
上市企业
集团公司
会计初级职称",1-3年,本科,昆明·呈贡·洛羊,一心堂药业集团股份有限公司,"上市公司
         
          10000人以上
         
          零售/批发"
主管助理（包住+双休）,5000-10000元,"卫生管理
销售管理",经验不限,中专/中技,佛山·禅城·祖庙,佛山市明堂医疗科技有限公司,"民营
         
          20-99人
         
          医疗设备/器械"
无经验要求—接受—7500/月—双休+年假+可预支+带手机】,8000-13000元·13薪,"生产设备
电气设备
机电设备",经验不限,学历不限,蚌埠·五河县,四川沁博企业管理有限公司,"民营
         
          300-499人
         
          电子设备制造"
哈市普工日薪204/天，辅助机器供食宿,6000-7000元,"厂内食堂
恒温车间
做六休一
两班倒
月休四天
日结
组装工",经验不限,学历不限,哈尔滨·平房·兴建,吉林省吉信人力资源有限责任公司,"500-999人
         
          汽车零部件"
外贸业务员,6000-7000元,"欧美区域
迪拜",1-3年,本科,苏州·工业园区,苏州飞行者医疗科技有限公司,"民营
         
          20-99人
         
          医疗设备/器械"
电气设备销售经理,6000-12000元,"企业客户
KA大客户",5-10年,大专,天津·滨海新区·大沽,赛恩思电气技术(天津)有限公司,"股份制企业
         
          20-99人
         
          电子设备制造"
新媒体运营（c端）,7000-9000元,"短视频平台
抖音
快手
微信视频号
医疗类
美妆类
短视频运营",3-5年,大专,武汉·江夏·豹澥,新北辰(湖北)生物科技集团有限公司,"民营
         
          20-99人
         
          生物工程"
招聘普工/操作工-五险一金-有餐补,5000-6000元,"社会保险
恒温车间
包住
月休四天
月结
包装工
操作工
组装工
身体健康",经验不限,学历不限,南宁·青秀·伶俐,广西喜达多人力资源管理有限公司,"其它
         
          500-999人
         
          人力资源服务"
电商运营主管,8000-15000元,"电商运营
新媒体运营
销售运营
抖音
快手
小红书
淘宝
拼多多
京东",3-5年,大专,天津·西青·大寺,马氏温灸(天津)医药技术有限公司,"民营
         
          20人以下
         
          卫生服务"
时间自由日结300一天包车住骑手,6000-9000元,会骑电动车,经验不限,学历不限,长沙·岳麓·望城坡,长沙团美配送有限公司,"民营
         
          100-299人
         
          居民服务"
景观/室内(设计师/助理)环艺专业,5000-8000元,"方案设计
效果图设计",经验不限,本科,南京·浦口·顶山,宿城区灵感设计工作室(个体工商户),"20人以下
         
          装饰装修"
招商经理,1-1.2万,,3-5年,本科,万宁·万城镇,琼海市富海园区投资有限公司,"20-99人
         
          房地产开发"
财务经理,2-3万,"财务分析
审计
风险控制
上市企业
投融资项目
CPA中国注册会计师",3-5年,本科,北京·东城·东华门,北京福石控股发展股份有限公司,"上市公司
         
          1000-9999人
         
          广告/营销"
高日结300元，下班即结，提供车住，适合学生兼职+可兼职日结可全职/+骑手/超市驻店/配送员/送餐员。,8000-10000元·13薪,"家附近3公里配送
提供车住
全职兼职均可
日入500
时间自由
人走账清
保底8000
日结工资
包住
可预支薪水
高温补贴
底薪加提成
节日福利",经验不限,学历不限,佛山·三水·乐平,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
车信贷商务经理,9000-13000元·14薪,,3-5年,大专,杭州·拱墅·祥符,杭州瑞路实业有限公司,"民营
         
          20-99人
         
          汽车研发/制造"
美团直招骑手可日结/有车电住宿,6000-7000元,"公司提供电动车/摩托车
自带电动车/摩托车
食品健康证
餐饮外卖
会骑电动车
熟练使用导航
无犯罪记录",经验不限,学历不限,齐齐哈尔·建华区·西大桥街道,鑫俊达(沈阳)物流管理有限公司,"民营
         
          500-999人
         
          货运/物流/仓储"
文旅行政人事经理,5000-7000元,"绩效管理
薪酬福利
HRBP
行政人事主管/经理",3-5年,本科,南昌·进贤·二塘,江西聚仁堂实业发展集团有限公司,"民营
         
          1000-9999人
         
          房地产开发"
底薪8000起急招开车司机,9000-12000元,"C1
驾龄三年以上",3-5年,学历不限,深圳·龙岗·吉华,佛山市晨飞汽车租赁有限公司,"100-299人
         
          汽车智能互联"
接听客服 双休五险一金,5000-7000元·13薪,"售前客服
电话客服
售后客服",经验不限,大专,成都·武侯·桂溪,成都微招网络科技有限公司,"民营
         
          100-299人
         
          人力资源服务"
卡旺卡奶茶店员（安徽就近安排）,4000-8000元,"加班补贴
节日福利",经验不限,大专,合肥·包河·望湖,四川新南泰企业管理咨询有限公司,"民营
         
          300-499人
         
          人力资源服务"
财务管理员,3000-5000元,"财务分析
应收应付
预算
风控
上市企业
集团公司
会计初级职称",1-3年,本科,昆明·呈贡·洛羊,一心堂药业集团股份有限公司,"上市公司
         
          10000人以上
         
          零售/批发"
主管助理（包住+双休）,5000-10000元,"卫生管理
销售管理",经验不限,中专/中技,佛山·禅城·祖庙,佛山市明堂医疗科技有限公司,"民营
         
          20-99人
         
          医疗设备/器械"
无经验要求—接受—7500/月—双休+年假+可预支+带手机】,8000-13000元·13薪,"生产设备
电气设备
机电设备",经验不限,学历不限,蚌埠·五河县,四川沁博企业管理有限公司,"民营
         
          300-499人
         
          电子设备制造"
哈市普工日薪204/天，辅助机器供食宿,6000-7000元,"厂内食堂
恒温车间
做六休一
两班倒
月休四天
日结
组装工",经验不限,学历不限,哈尔滨·平房·兴建,吉林省吉信人力资源有限责任公司,"500-999人
         
          汽车零部件"
外贸业务员,6000-7000元,"欧美区域
迪拜",1-3年,本科,苏州·工业园区,苏州飞行者医疗科技有限公司,"民营
         
          20-99人
         
          医疗设备/器械"
电气设备销售经理,6000-12000元,"企业客户
KA大客户",5-10年,大专,天津·滨海新区·大沽,赛恩思电气技术(天津)有限公司,"股份制企业
         
          20-99人
         
          电子设备制造"
新媒体运营（c端）,7000-9000元,"短视频平台
抖音
快手
微信视频号
医疗类
美妆类
短视频运营",3-5年,大专,武汉·江夏·豹澥,新北辰(湖北)生物科技集团有限公司,"民营
         
          20-99人
         
          生物工程"
招聘普工/操作工-五险一金-有餐补,5000-6000元,"社会保险
恒温车间
包住
月休四天
月结
包装工
操作工
组装工
身体健康",经验不限,学历不限,南宁·青秀·伶俐,广西喜达多人力资源管理有限公司,"其它
         
          500-999人
         
          人力资源服务"
电商运营主管,8000-15000元,"电商运营
新媒体运营
销售运营
抖音
快手
小红书
淘宝
拼多多
京东",3-5年,大专,天津·西青·大寺,马氏温灸(天津)医药技术有限公司,"民营
         
          20人以下
         
          卫生服务"
时间自由日结300一天包车住骑手,6000-9000元,会骑电动车,经验不限,学历不限,长沙·岳麓·望城坡,长沙团美配送有限公司,"民营
         
          100-299人
         
          居民服务"
景观/室内(设计师/助理)环艺专业,5000-8000元,"方案设计
效果图设计",经验不限,本科,南京·浦口·顶山,宿城区灵感设计工作室(个体工商户),"20人以下
         
          装饰装修"
招商经理,1-1.2万,,3-5年,本科,万宁·万城镇,琼海市富海园区投资有限公司,"20-99人
         
          房地产开发"
财务经理,2-3万,"财务分析
审计
风险控制
上市企业
投融资项目
CPA中国注册会计师",3-5年,本科,北京·东城·东华门,北京福石控股发展股份有限公司,"上市公司
         
          1000-9999人
         
          广告/营销"
高日结300元，下班即结，提供车住，适合学生兼职+可兼职日结可全职/+骑手/超市驻店/配送员/送餐员。,8000-10000元·13薪,"家附近3公里配送
提供车住
全职兼职均可
日入500
时间自由
人走账清
保底8000
日结工资
包住
可预支薪水
高温补贴
底薪加提成
节日福利",经验不限,学历不限,佛山·三水·乐平,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
车信贷商务经理,9000-13000元·14薪,,3-5年,大专,杭州·拱墅·祥符,杭州瑞路实业有限公司,"民营
         
          20-99人
         
          汽车研发/制造"
美团直招骑手可日结/有车电住宿,6000-7000元,"公司提供电动车/摩托车
自带电动车/摩托车
食品健康证
餐饮外卖
会骑电动车
熟练使用导航
无犯罪记录",经验不限,学历不限,齐齐哈尔·建华区·西大桥街道,鑫俊达(沈阳)物流管理有限公司,"民营
         
          500-999人
         
          货运/物流/仓储"
文旅行政人事经理,5000-7000元,"绩效管理
薪酬福利
HRBP
行政人事主管/经理",3-5年,本科,南昌·进贤·二塘,江西聚仁堂实业发展集团有限公司,"民营
         
          1000-9999人
         
          房地产开发"
底薪8000起急招开车司机,9000-12000元,"C1
驾龄三年以上",3-5年,学历不限,深圳·龙岗·吉华,佛山市晨飞汽车租赁有限公司,"100-299人
         
          汽车智能互联"
接听客服 双休五险一金,5000-7000元·13薪,"售前客服
电话客服
售后客服",经验不限,大专,成都·武侯·桂溪,成都微招网络科技有限公司,"民营
         
          100-299人
         
          人力资源服务"
卡旺卡奶茶店员（安徽就近安排）,4000-8000元,"加班补贴
节日福利",经验不限,大专,合肥·包河·望湖,四川新南泰企业管理咨询有限公司,"民营
         
          300-499人
         
          人力资源服务"
